account_id,activity_date,active_users,active_mobile_users,sessions,work_orders_created,work_orders_completed,automation_runs,api_calls,documents_uploaded,feature_breadth
account_00000001,2025-01-13,1,1,1,1,1,0,0,0,7
account_00000001,2025-01-16,2,1,2,4,3,0,0,3,9
account_00000001,2025-01-23,2,1,2,0,0,0,0,0,7
account_00000001,2025-01-27,1,1,3,1,1,0,0,1,6
account_00000001,2025-02-05,1,1,1,1,1,0,0,0,6
account_00000001,2025-02-13,2,1,2,3,2,0,0,1,4
account_00000001,2025-02-18,2,1,4,1,1,0,0,0,6
account_00000001,2025-02-21,2,1,2,0,0,0,0,0,6
account_00000001,2025-03-11,2,1,3,1,1,0,0,0,7
account_00000001,2025-03-20,1,1,1,0,0,0,0,0,8
account_00000001,2025-03-22,1,1,2,2,2,0,0,3,6
account_00000001,2025-03-27,2,1,4,1,1,0,0,1,6
account_00000001,2025-04-08,1,1,2,0,0,0,0,0,7
account_00000001,2025-04-22,1,1,3,2,2,1,0,1,6
account_00000001,2025-04-23,1,1,3,2,2,0,0,0,7
account_00000001,2025-04-25,1,1,2,1,1,0,0,0,7
account_00000001,2025-05-06,2,1,2,3,2,1,0,3,6
account_00000001,2025-05-11,2,1,2,1,1,0,0,0,8
account_00000001,2025-05-23,2,1,5,1,1,0,0,0,8
account_00000001,2025-05-25,2,1,2,1,1,0,0,0,7
account_00000001,2025-06-13,1,1,1,1,1,0,0,0,9
account_00000001,2025-06-20,1,1,2,1,1,0,0,1,9
account_00000001,2025-06-23,2,1,5,4,4,1,0,0,7
account_00000001,2025-06-30,2,1,5,2,2,0,0,0,7
account_00000001,2025-07-01,2,1,2,4,3,1,0,3,8
account_00000001,2025-07-07,2,1,5,0,0,0,0,0,7
account_00000001,2025-07-10,2,1,5,0,0,0,0,0,8
account_00000001,2025-07-17,1,1,1,0,0,0,0,0,10
account_00000001,2025-08-01,2,1,5,2,2,0,0,0,8
account_00000001,2025-08-16,2,1,2,1,1,1,0,0,9
account_00000001,2025-08-21,3,2,3,2,2,0,0,0,10
account_00000001,2025-08-27,1,1,1,0,0,0,0,1,9
account_00000001,2025-09-06,1,1,2,0,0,0,0,0,8
account_00000001,2025-09-13,1,1,1,0,0,0,0,0,7
account_00000001,2025-09-19,1,1,1,2,2,1,0,0,7
account_00000001,2025-09-29,1,1,6,2,2,1,0,0,8
account_00000001,2025-10-02,3,2,15,0,0,0,0,0,7
account_00000001,2025-10-14,2,1,3,4,3,1,0,4,8
account_00000001,2025-10-17,3,2,6,2,2,0,0,3,8
account_00000001,2025-10-24,2,1,8,3,2,0,0,1,7
account_00000001,2025-11-01,1,1,2,4,3,1,0,1,8
account_00000001,2025-11-02,1,1,1,1,1,0,0,0,8
account_00000001,2025-11-14,2,1,4,3,2,0,0,1,9
account_00000001,2025-11-20,1,1,1,1,1,0,0,0,8
account_00000001,2025-12-05,1,1,1,1,1,0,0,1,8
account_00000001,2025-12-23,1,1,1,0,0,0,0,0,7
account_00000001,2025-12-27,1,1,2,2,2,0,0,1,7
account_00000001,2025-12-31,1,1,3,1,1,1,0,0,6
account_00000001,2026-01-18,1,1,6,0,0,0,0,0,7
account_00000001,2026-01-21,2,1,5,0,0,0,0,0,7
account_00000001,2026-01-28,1,1,1,0,0,0,0,1,4
account_00000001,2026-01-31,1,1,1,1,1,0,0,0,6
account_00000001,2026-02-04,2,1,2,1,1,0,0,0,7
account_00000001,2026-02-11,1,1,1,0,0,0,0,0,5
account_00000001,2026-02-18,2,1,2,1,1,1,0,0,7
account_00000001,2026-02-22,2,1,3,4,3,0,0,1,7
account_00000001,2026-03-02,1,1,2,4,4,0,0,1,7
account_00000001,2026-03-06,1,1,1,1,1,0,0,0,8
account_00000001,2026-03-23,2,1,2,0,0,0,0,0,8
account_00000001,2026-03-30,1,1,1,1,1,0,0,0,6
account_00000001,2026-04-13,3,2,4,2,2,0,0,0,7
account_00000001,2026-04-16,2,1,3,2,2,0,0,1,5
account_00000001,2026-04-24,3,2,9,0,0,0,0,1,8
account_00000001,2026-04-27,2,1,4,1,1,0,0,0,5
account_00000001,2026-05-01,3,2,5,1,1,0,0,0,8
account_00000001,2026-05-19,2,1,4,0,0,0,0,0,7
account_00000001,2026-05-23,2,1,2,0,0,0,0,0,7
account_00000001,2026-05-25,2,1,3,1,1,0,0,0,9
account_00000001,2026-06-01,2,1,2,2,2,0,0,1,8
account_00000001,2026-06-16,2,1,2,3,3,0,0,0,8
account_00000001,2026-06-21,3,2,8,1,1,1,0,0,8
account_00000001,2026-06-24,2,1,3,3,3,0,0,1,9
account_00000002,2026-03-05,1,1,1,0,0,0,0,0,4
account_00000002,2026-03-19,1,1,2,2,2,0,0,2,7
account_00000002,2026-03-22,1,1,1,0,0,0,0,0,6
account_00000002,2026-03-25,1,1,1,0,0,0,0,0,5
account_00000002,2026-04-02,1,1,1,0,0,0,0,0,5
account_00000002,2026-04-12,1,1,2,2,1,0,0,1,4
account_00000002,2026-04-18,1,1,1,0,0,0,0,0,5
account_00000002,2026-04-25,1,1,1,1,1,0,0,0,5
account_00000002,2026-05-02,1,1,7,1,1,0,0,0,5
account_00000002,2026-05-14,1,1,3,0,0,0,0,0,6
account_00000002,2026-05-28,1,1,2,2,1,1,0,1,7
account_00000002,2026-05-30,1,1,3,2,2,0,0,1,3
account_00000002,2026-06-14,1,1,1,3,2,0,0,0,4
account_00000002,2026-06-15,1,1,1,3,2,0,0,1,6
account_00000002,2026-06-26,1,1,1,3,2,0,0,2,5
account_00000002,2026-06-28,1,1,1,0,0,0,0,1,5
account_00000004,2024-05-11,5,4,12,2,2,2,39,1,10
account_00000004,2024-05-14,5,4,6,5,4,2,36,4,10
account_00000004,2024-05-19,3,2,3,3,2,0,33,0,10
account_00000004,2024-05-23,2,1,5,1,1,1,21,3,10
account_00000004,2024-06-11,4,3,6,10,8,2,42,3,10
account_00000004,2024-06-12,6,4,9,4,4,2,29,0,9
account_00000004,2024-06-16,6,4,14,11,10,3,40,5,10
account_00000004,2024-06-21,6,4,12,14,13,9,33,7,10
account_00000004,2024-07-12,3,2,3,2,2,1,34,0,10
account_00000004,2024-07-20,4,3,11,5,4,3,30,0,10
account_00000004,2024-07-25,3,2,6,8,7,3,29,5,10
account_00000004,2024-07-27,7,5,16,6,5,4,26,2,10
account_00000004,2024-08-03,4,3,6,6,5,5,23,2,9
account_00000004,2024-08-13,3,2,5,4,4,6,43,3,10
account_00000004,2024-08-20,7,5,10,5,4,3,37,3,8
account_00000004,2024-08-26,3,2,3,4,4,1,29,3,9
account_00000004,2024-09-14,4,3,11,10,9,4,36,2,10
account_00000004,2024-09-21,7,5,16,10,9,5,38,3,9
account_00000004,2024-09-25,4,3,5,4,4,5,34,2,10
account_00000004,2024-09-29,5,4,6,7,7,5,32,3,10
account_00000004,2024-10-16,5,4,12,4,3,0,31,2,9
account_00000004,2024-10-17,5,4,6,4,4,0,27,2,10
account_00000004,2024-10-18,6,4,13,5,4,2,33,6,8
account_00000004,2024-10-26,7,5,10,4,4,3,32,1,10
account_00000004,2024-11-07,4,3,7,6,6,3,30,3,10
account_00000004,2024-11-10,3,2,3,3,3,2,29,2,10
account_00000004,2024-11-11,5,4,6,3,2,1,47,1,9
account_00000004,2024-11-17,5,4,11,9,8,5,26,7,10
account_00000004,2024-12-03,5,4,9,6,5,3,35,4,10
account_00000004,2024-12-06,3,2,12,2,2,0,31,0,10
account_00000004,2024-12-16,4,3,10,5,4,4,41,0,9
account_00000004,2024-12-20,3,2,3,4,4,2,40,1,10
account_00000004,2025-01-11,7,5,9,10,9,2,30,7,10
account_00000004,2025-01-16,5,4,9,14,13,6,35,6,10
account_00000004,2025-01-25,6,4,13,3,3,3,32,3,10
account_00000004,2025-01-31,3,2,6,1,1,0,42,1,9
account_00000004,2025-02-03,6,4,6,7,6,3,33,6,10
account_00000004,2025-02-13,5,4,9,2,2,0,26,0,10
account_00000004,2025-02-25,3,2,3,6,5,4,32,1,9
account_00000004,2025-02-26,5,4,7,1,1,0,39,1,9
account_00000004,2025-03-07,5,4,5,8,7,1,31,3,10
account_00000004,2025-03-09,4,3,16,1,1,0,30,0,10
account_00000004,2025-03-13,5,4,8,6,5,6,43,3,9
account_00000004,2025-03-20,6,4,22,4,3,1,29,1,9
account_00000004,2025-04-12,5,4,12,5,4,3,36,4,10
account_00000004,2025-04-15,7,5,19,7,6,9,34,2,10
account_00000004,2025-04-22,4,3,5,8,7,0,43,3,10
account_00000004,2025-04-29,5,4,6,7,5,5,29,1,10
account_00000004,2025-05-10,4,3,5,4,4,3,38,1,9
account_00000004,2025-05-21,3,2,6,1,1,0,33,1,9
account_00000004,2025-05-22,3,2,3,3,2,2,32,1,10
account_00000004,2025-05-28,5,4,6,11,8,3,21,3,8
account_00000004,2025-06-07,3,2,3,8,7,3,41,5,9
account_00000004,2025-06-08,5,4,15,1,1,0,30,1,10
account_00000004,2025-06-14,5,4,13,9,7,3,29,4,10
account_00000004,2025-06-16,4,3,7,6,5,1,42,3,10
account_00000004,2025-07-02,6,4,15,2,2,0,39,0,9
account_00000004,2025-07-23,7,5,8,5,5,2,40,1,10
account_00000004,2025-07-25,7,5,14,1,1,0,27,0,9
account_00000004,2025-07-27,5,4,9,4,4,0,35,4,10
account_00000004,2025-08-02,5,4,8,5,5,2,41,3,10
account_00000004,2025-08-07,5,4,18,8,8,2,36,3,10
account_00000004,2025-08-17,4,3,4,5,5,2,36,2,10
account_00000004,2025-08-28,6,4,16,4,4,1,47,2,10
account_00000004,2025-09-02,6,4,10,3,2,2,28,0,9
account_00000004,2025-09-04,5,4,15,6,5,2,41,1,10
account_00000004,2025-09-09,4,3,7,3,3,0,37,0,9
account_00000004,2025-09-22,5,4,10,1,1,1,33,1,9
account_00000004,2025-10-15,5,4,11,4,3,2,20,0,9
account_00000004,2025-10-18,7,5,13,4,3,1,22,2,9
account_00000004,2025-10-25,4,3,7,2,2,0,39,0,8
account_00000004,2025-10-30,4,3,5,3,3,0,28,0,10
account_00000004,2025-11-20,6,4,8,4,4,0,35,1,10
account_00000004,2025-11-26,4,3,5,8,8,5,32,2,9
account_00000004,2025-11-28,4,3,4,3,2,0,36,0,10
account_00000004,2025-11-29,5,4,6,7,6,2,35,1,10
account_00000004,2025-12-09,4,3,4,3,3,1,26,1,10
account_00000004,2025-12-20,4,3,7,6,5,4,32,3,10
account_00000004,2025-12-23,3,2,3,3,3,1,36,1,10
account_00000004,2025-12-28,5,4,9,3,2,1,34,2,9
account_00000004,2026-01-10,5,4,14,4,4,3,37,4,9
account_00000004,2026-01-18,7,5,15,2,2,0,35,0,10
account_00000004,2026-01-22,7,5,8,8,7,5,30,4,10
account_00000004,2026-01-23,4,3,6,3,3,2,36,3,10
account_00000004,2026-02-01,5,4,13,2,2,2,31,1,9
account_00000004,2026-02-10,5,4,5,11,9,5,31,1,10
account_00000004,2026-02-21,5,4,12,11,9,6,24,4,10
account_00000004,2026-02-22,4,3,4,4,4,3,27,0,10
account_00000004,2026-03-05,4,3,9,7,6,5,41,1,9
account_00000004,2026-03-11,5,4,6,4,3,2,25,3,10
account_00000004,2026-03-23,4,3,7,5,4,6,36,0,9
account_00000004,2026-03-30,2,1,6,3,3,2,33,3,8
account_00000004,2026-04-02,3,2,10,2,2,1,45,2,10
account_00000004,2026-04-14,6,4,8,12,11,4,45,5,10
account_00000004,2026-04-21,5,4,8,7,6,4,29,2,10
account_00000004,2026-04-26,3,2,3,2,2,0,28,3,10
account_00000004,2026-05-06,6,4,14,5,5,5,39,2,10
account_00000004,2026-05-20,5,4,11,6,6,1,36,2,10
account_00000004,2026-05-23,7,5,13,6,5,3,44,2,10
account_00000004,2026-05-31,5,4,5,8,7,4,25,6,10
account_00000004,2026-06-07,5,4,5,5,4,1,40,4,9
account_00000004,2026-06-11,6,4,9,7,6,4,38,1,9
account_00000004,2026-06-13,4,3,8,4,3,7,33,1,10
account_00000004,2026-06-17,5,4,6,8,7,4,31,2,10
account_00000008,2025-12-02,1,1,3,1,1,0,14,1,6
account_00000008,2025-12-04,1,1,2,0,0,0,10,0,7
account_00000008,2025-12-06,2,1,2,0,0,0,10,0,7
account_00000008,2025-12-26,1,1,2,2,2,1,17,0,6
account_00000008,2026-01-04,2,1,5,0,0,0,9,0,8
account_00000008,2026-01-07,1,1,1,1,1,0,9,1,8
account_00000008,2026-01-08,1,1,4,0,0,0,8,0,7
account_00000008,2026-01-29,1,1,2,4,3,1,9,0,7
account_00000008,2026-02-10,2,1,5,2,2,2,14,0,8
account_00000008,2026-02-12,1,1,4,1,1,1,17,0,5
account_00000008,2026-02-15,2,1,2,1,1,1,17,0,7
account_00000008,2026-02-24,1,1,2,0,0,0,13,0,7
account_00000008,2026-03-08,1,1,3,1,1,0,19,0,6
account_00000008,2026-03-13,1,1,3,1,1,0,16,0,7
account_00000008,2026-03-18,1,1,1,3,2,1,11,0,7
account_00000008,2026-03-28,2,1,4,1,1,1,18,0,6
account_00000008,2026-04-02,1,1,3,1,1,1,13,0,9
account_00000008,2026-04-05,1,1,3,0,0,0,12,0,8
account_00000008,2026-04-16,1,1,3,2,2,1,16,2,9
account_00000008,2026-04-25,1,1,3,0,0,0,15,0,7
account_00000008,2026-05-02,1,1,1,0,0,0,20,0,8
account_00000008,2026-05-05,2,1,2,2,2,0,14,1,10
account_00000008,2026-05-13,1,1,1,0,0,0,18,0,7
account_00000008,2026-05-16,1,1,3,0,0,0,12,0,8
account_00000008,2026-06-16,1,1,2,0,0,0,8,0,7
account_00000008,2026-06-17,1,1,1,1,1,1,19,0,9
account_00000008,2026-06-19,1,1,3,0,0,0,21,0,8
account_00000008,2026-06-22,2,1,2,3,3,0,13,1,9
account_00000009,2025-03-01,9,6,16,16,12,1,0,6,5
account_00000009,2025-03-04,6,4,6,5,4,1,0,4,8
account_00000009,2025-03-13,9,6,19,15,12,2,0,8,6
account_00000009,2025-03-20,10,7,11,11,9,2,0,4,4
account_00000009,2025-04-06,5,4,9,6,4,0,0,1,5
account_00000009,2025-04-08,7,5,7,5,4,0,0,4,9
account_00000009,2025-04-11,6,4,8,2,2,0,0,1,7
account_00000009,2025-04-17,6,4,6,9,6,0,0,4,6
account_00000009,2025-05-05,8,6,11,8,6,3,0,0,8
account_00000009,2025-05-15,9,6,18,19,16,6,0,8,8
account_00000009,2025-05-17,7,5,11,5,4,0,0,3,5
account_00000009,2025-05-30,8,6,11,4,3,0,0,2,5
account_00000009,2025-06-01,9,6,22,9,7,6,0,3,8
account_00000009,2025-06-07,7,5,14,6,5,0,0,2,8
account_00000009,2025-06-14,11,8,26,13,11,1,0,3,10
account_00000009,2025-06-26,5,4,8,4,3,0,0,2,8
account_00000013,2024-07-20,24,17,49,39,31,13,29,10,9
account_00000013,2024-07-22,32,23,64,46,37,18,29,12,10
