account_id,account_name,created_at,country_code,region_id,industry,segment,employee_band,acquisition_channel,sales_motion,partner_id,account_status,legal_currency,tax_id_present
account_00000001,Belgium Field Services 00001,2024-12-12 11:00:00,BE,benelux,property_services,micro,1-9,referral,self_service,,customer,EUR,True
account_00000002,Netherlands Field Services 00002,2026-03-10 08:00:00,NL,benelux,equipment_maintenance,micro,1-9,referral,self_service,,customer,EUR,True
account_00000003,United Kingdom Field Services 00003,2026-03-18 13:00:00,GB,western_europe,property_services,small,10-49,outbound_sales,partner_led,partner_00000009,prospect,GBP,True
account_00000004,Norway Field Services 00004,2024-03-17 10:00:00,NO,nordics,inspections,small,10-49,referral,sales_assisted,,customer,NOK,True
account_00000005,Germany Field Services 00005,2024-12-18 17:00:00,DE,dach,facility_management,medium,50-249,outbound_sales,sales_assisted,,prospect,EUR,True
account_00000006,United Kingdom Field Services 00006,2025-02-02 13:00:00,GB,western_europe,equipment_maintenance,medium,250-999,paid_search,sales_assisted,,prospect,GBP,True
account_00000007,France Field Services 00007,2024-11-03 11:00:00,FR,western_europe,cleaning_services,micro,1-9,partner,partner_led,partner_00000002,lost,EUR,True
account_00000008,Ireland Field Services 00008,2025-11-02 09:00:00,IE,western_europe,technical_services,micro,1-9,partner,partner_led,partner_00000008,customer,EUR,True
account_00000009,Belgium Field Services 00009,2024-12-28 08:00:00,BE,benelux,facility_management,small,50-249,partner,partner_led,partner_00000004,customer,EUR,True
account_00000010,Germany Field Services 00010,2025-06-05 18:00:00,DE,dach,equipment_maintenance,small,10-49,paid_search,sales_assisted,,lost,EUR,False
account_00000011,Germany Field Services 00011,2024-01-03 16:00:00,DE,dach,inspections,small,50-249,partner,partner_led,partner_00000005,lost,EUR,True
account_00000012,Austria Field Services 00012,2024-12-31 12:00:00,AT,dach,inspections,micro,1-9,outbound_sales,sales_assisted,,prospect,EUR,True
account_00000013,Netherlands Field Services 00013,2024-06-18 12:00:00,NL,benelux,technical_services,medium,50-249,outbound_sales,partner_led,partner_00000012,customer,EUR,True
account_00000014,Germany Field Services 00014,2024-04-09 12:00:00,DE,dach,technical_services,medium,50-249,paid_search,self_service,,lost,EUR,True
account_00000015,Ireland Field Services 00015,2025-12-16 12:00:00,IE,western_europe,cleaning_services,small,10-49,organic_search,self_service,,lost,EUR,True
account_00000016,Germany Field Services 00016,2026-03-14 08:00:00,DE,dach,cleaning_services,micro,10-49,paid_search,self_service,,prospect,EUR,True
account_00000017,United Kingdom Field Services 00017,2024-12-17 11:00:00,GB,western_europe,inspections,medium,50-249,organic_search,sales_assisted,,prospect,GBP,True
