contract_id,account_id,contract_number,signed_date,start_date,end_date,auto_renew_flag,contract_term_months,billing_frequency,currency_code,discount_pct,contract_status,sales_motion
contract_00000001,account_00000001,CTR-2025-000001,2025-01-06,2025-01-10,2025-02-09,True,1,monthly,EUR,0.0,expired,self_service
contract_00000002,account_00000002,CTR-2026-000002,2026-03-16,2026-03-30,2026-04-29,True,1,monthly,EUR,0.0,expired,self_service
contract_00000003,account_00000004,CTR-2024-000003,2024-05-21,2024-05-28,2025-05-27,True,12,annual,NOK,0.18,expired,sales_assisted
contract_00000004,account_00000008,CTR-2025-000004,2025-12-11,2025-12-22,2026-01-21,True,1,monthly,EUR,0.05,expired,partner_led
contract_00000005,account_00000009,CTR-2025-000005,2025-03-18,2025-03-26,2025-04-25,True,1,monthly,EUR,0.0,terminated,partner_led
contract_00000006,account_00000013,CTR-2024-000006,2024-07-20,2024-07-23,2025-07-22,True,12,annual,EUR,0.32,expired,partner_led
contract_00000007,account_00000019,CTR-2026-000007,2026-03-26,2026-03-27,2026-04-26,True,1,monthly,EUR,0.05,expired,sales_assisted
contract_00000008,account_00000022,CTR-2024-000008,2024-05-24,2024-06-02,2024-07-01,True,1,monthly,SEK,0.0,expired,self_service
contract_00000009,account_00000023,CTR-2024-000009,2024-07-09,2024-07-13,2025-07-12,True,12,annual,EUR,0.21,expired,partner_led
contract_00000010,account_00000024,CTR-2025-000010,2025-06-27,2025-07-02,2026-07-01,True,12,annual,CZK,0.25,active,partner_led
contract_00000011,account_00000035,CTR-2024-000011,2024-12-16,2024-12-27,2025-01-26,True,1,monthly,CHF,0.0,expired,self_service
contract_00000012,account_00000039,CTR-2026-000012,2026-06-20,2026-06-26,2028-06-25,True,24,annual,EUR,0.25,active,sales_assisted
contract_00000013,account_00000040,CTR-2025-000013,2025-11-06,2025-11-15,2026-11-14,True,12,annual,EUR,0.26,active,partner_led
contract_00000014,account_00000043,CTR-2026-000014,2026-03-05,2026-03-11,2029-03-10,True,36,annual,EUR,0.23,active,partner_led
contract_00000015,account_00000044,CTR-2024-000015,2024-04-14,2024-04-24,2025-04-23,True,12,annual,EUR,0.2,expired,sales_assisted
contract_00000016,account_00000047,CTR-2025-000016,2025-05-10,2025-05-22,2025-06-21,True,1,monthly,EUR,0.0,expired,sales_assisted
contract_00000017,account_00000051,CTR-2025-000017,2025-05-12,2025-05-20,2027-05-19,True,24,annual,EUR,0.18,active,self_service
contract_00000018,account_00000056,CTR-2025-000018,2025-04-16,2025-04-19,2026-04-18,True,12,annual,EUR,0.28,expired,sales_assisted
contract_00000019,account_00000069,CTR-2024-000019,2024-04-17,2024-04-28,2027-04-27,True,36,annual,EUR,0.2,active,self_service
contract_00000020,account_00000079,CTR-2025-000020,2025-10-25,2025-10-28,2026-10-27,True,12,annual,SEK,0.18,active,partner_led
contract_00000021,account_00000080,CTR-2025-000021,2025-09-12,2025-09-25,2026-09-24,True,12,annual,EUR,0.32,active,sales_assisted
contract_00000022,account_00000083,CTR-2024-000022,2024-08-27,2024-08-31,2024-09-29,True,1,monthly,GBP,0.0,expired,self_service
contract_00000023,account_00000085,CTR-2024-000023,2024-02-29,2024-03-07,2025-03-06,True,12,annual,EUR,0.15,terminated,self_service
