dunning_event_id,invoice_id,event_at,dunning_step,channel,event_status,recovered_after_event_flag
dunning_00000001,invoice_00000011,2025-11-01 04:00:00,1,in_app,sent,False
dunning_00000002,invoice_00000011,2025-11-04 04:00:00,2,email,sent,True
dunning_00000003,invoice_00000020,2026-04-01 04:00:00,1,email,sent,False
dunning_00000004,invoice_00000020,2026-04-03 04:00:00,2,email,sent,False
dunning_00000005,invoice_00000020,2026-04-07 04:00:00,3,in_app,sent,False
dunning_00000006,invoice_00000020,2026-04-13 04:00:00,4,email,sent,False
dunning_00000007,invoice_00000022,2026-06-01 04:00:00,1,email,sent,False
dunning_00000008,invoice_00000022,2026-06-04 04:00:00,2,email,sent,False
dunning_00000009,invoice_00000025,2026-05-01 04:00:00,1,customer_success,sent,False
dunning_00000010,invoice_00000025,2026-05-03 04:00:00,2,in_app,sent,False
dunning_00000011,invoice_00000025,2026-05-07 04:00:00,3,in_app,sent,False
dunning_00000012,invoice_00000036,2025-06-01 04:00:00,1,customer_success,sent,False
dunning_00000013,invoice_00000036,2025-06-05 04:00:00,2,customer_success,sent,False
dunning_00000014,invoice_00000064,2026-03-01 04:00:00,1,email,sent,True
dunning_00000015,invoice_00000094,2025-04-01 04:00:00,1,email,sent,False
dunning_00000016,invoice_00000094,2025-04-05 04:00:00,2,email,sent,True
dunning_00000017,invoice_00000122,2024-11-01 04:00:00,1,email,sent,True
dunning_00000018,invoice_00000141,2026-06-01 04:00:00,1,email,sent,False
dunning_00000019,invoice_00000141,2026-06-05 04:00:00,2,email,sent,False
dunning_00000020,invoice_00000141,2026-06-09 04:00:00,3,email,sent,False
dunning_00000021,invoice_00000147,2026-03-01 04:00:00,1,in_app,sent,True
dunning_00000022,invoice_00000156,2024-11-18 04:00:00,1,email,sent,False
dunning_00000023,invoice_00000156,2024-11-22 04:00:00,2,email,sent,True
dunning_00000024,invoice_00000188,2025-11-01 04:00:00,1,customer_success,sent,False
dunning_00000025,invoice_00000188,2025-11-05 04:00:00,2,email,sent,True
dunning_00000026,invoice_00000229,2026-06-01 04:00:00,1,customer_success,sent,False
dunning_00000027,invoice_00000229,2026-06-05 04:00:00,2,in_app,sent,False
dunning_00000028,invoice_00000229,2026-06-07 04:00:00,3,in_app,sent,False
dunning_00000029,invoice_00000229,2026-06-07 04:00:00,4,in_app,sent,False
dunning_00000030,invoice_00000258,2026-05-01 04:00:00,1,in_app,sent,True
dunning_00000031,invoice_00000275,2025-11-01 04:00:00,1,in_app,sent,False
dunning_00000032,invoice_00000275,2025-11-05 04:00:00,2,customer_success,sent,False
dunning_00000033,invoice_00000275,2025-11-05 04:00:00,3,email,sent,False
dunning_00000034,invoice_00000283,2026-03-10 04:00:00,1,customer_success,sent,True
dunning_00000035,invoice_00000306,2026-04-01 04:00:00,1,email,sent,True
dunning_00000036,invoice_00000369,2026-03-01 04:00:00,1,customer_success,sent,False
dunning_00000037,invoice_00000369,2026-03-05 04:00:00,2,email,sent,False
dunning_00000038,invoice_00000369,2026-03-07 04:00:00,3,email,sent,False
dunning_00000039,invoice_00000369,2026-03-13 04:00:00,4,in_app,sent,False
dunning_00000040,invoice_00000370,2026-04-01 04:00:00,1,email,sent,True
dunning_00000041,invoice_00000393,2025-11-01 04:00:00,1,email,sent,False
dunning_00000042,invoice_00000393,2025-11-03 04:00:00,2,email,sent,True
dunning_00000043,invoice_00000398,2026-04-01 04:00:00,1,in_app,sent,True
dunning_00000044,invoice_00000402,2025-05-01 04:00:00,1,email,sent,True
dunning_00000045,invoice_00000405,2025-08-01 04:00:00,1,in_app,sent,True
dunning_00000046,invoice_00000423,2024-08-01 04:00:00,1,email,sent,True
dunning_00000047,invoice_00000429,2025-02-01 04:00:00,1,email,sent,True
dunning_00000048,invoice_00000435,2025-08-01 04:00:00,1,email,sent,False
dunning_00000049,invoice_00000435,2025-08-03 04:00:00,2,email,sent,False
dunning_00000050,invoice_00000435,2025-08-07 04:00:00,3,email,sent,False
dunning_00000051,invoice_00000435,2025-08-10 04:00:00,4,email,sent,False
dunning_00000052,invoice_00000440,2026-01-01 04:00:00,1,in_app,sent,False
dunning_00000053,invoice_00000440,2026-01-04 04:00:00,2,in_app,sent,False
dunning_00000054,invoice_00000440,2026-01-07 04:00:00,3,email,sent,False
dunning_00000055,invoice_00000440,2026-01-10 04:00:00,4,email,sent,False
dunning_00000056,invoice_00000447,2026-05-01 04:00:00,1,email,sent,False
dunning_00000057,invoice_00000447,2026-05-04 04:00:00,2,in_app,sent,True
dunning_00000058,invoice_00000453,2025-03-01 04:00:00,1,email,sent,True
dunning_00000059,invoice_00000459,2025-09-01 04:00:00,1,email,sent,False
dunning_00000060,invoice_00000459,2025-09-05 04:00:00,2,customer_success,sent,False
dunning_00000061,invoice_00000459,2025-09-05 04:00:00,3,in_app,sent,False
dunning_00000062,invoice_00000459,2025-09-07 04:00:00,4,email,sent,False
dunning_00000063,invoice_00000482,2025-04-01 04:00:00,1,email,sent,True
dunning_00000064,invoice_00000533,2025-03-01 04:00:00,1,email,sent,False
dunning_00000065,invoice_00000533,2025-03-05 04:00:00,2,email,sent,True
dunning_00000066,invoice_00000549,2025-04-30 04:00:00,1,email,sent,True
