assignment_id,experiment_id,account_id,variant,assigned_at,eligible_flag,stratum
assignment_00000001,exp_onboarding,account_00000097,treatment,2025-03-28 00:00:00,True,NO|micro
assignment_00000002,exp_onboarding,account_00000025,treatment,2025-05-03 00:00:00,True,DK|micro
assignment_00000003,exp_onboarding,account_00000128,control,2025-02-19 00:00:00,True,AT|medium
assignment_00000004,exp_onboarding,account_00000187,control,2025-04-21 00:00:00,True,FR|medium
assignment_00000005,exp_onboarding,account_00000203,control,2025-02-09 00:00:00,True,DE|small
assignment_00000006,exp_onboarding,account_00000143,control,2025-03-08 00:00:00,True,GB|medium
assignment_00000007,exp_onboarding,account_00000057,control,2025-05-04 00:00:00,True,FR|micro
assignment_00000008,exp_onboarding,account_00000083,control,2025-04-19 00:00:00,True,GB|small
assignment_00000009,exp_onboarding,account_00000076,treatment,2025-05-17 00:00:00,True,FR|micro
assignment_00000010,exp_onboarding,account_00000229,treatment,2025-03-19 00:00:00,True,GB|micro
assignment_00000011,exp_onboarding,account_00000044,treatment,2025-04-29 00:00:00,True,NL|small
assignment_00000012,exp_onboarding,account_00000209,treatment,2025-04-23 00:00:00,True,DE|small
assignment_00000013,exp_onboarding,account_00000056,control,2025-02-18 00:00:00,True,DE|medium
assignment_00000014,exp_onboarding,account_00000090,treatment,2025-04-09 00:00:00,True,DE|micro
assignment_00000015,exp_onboarding,account_00000093,control,2025-04-28 00:00:00,True,ES|micro
assignment_00000016,exp_onboarding,account_00000131,treatment,2025-02-10 00:00:00,True,GB|enterprise
assignment_00000017,exp_onboarding,account_00000104,treatment,2025-04-21 00:00:00,True,NO|micro
assignment_00000018,exp_onboarding,account_00000210,treatment,2025-05-01 00:00:00,True,IE|small
assignment_00000019,exp_onboarding,account_00000063,control,2025-06-01 00:00:00,True,DE|micro
assignment_00000020,exp_onboarding,account_00000238,treatment,2025-03-22 00:00:00,True,BE|small
assignment_00000021,exp_onboarding,account_00000132,treatment,2025-04-05 00:00:00,True,NO|micro
assignment_00000022,exp_onboarding,account_00000120,treatment,2025-05-02 00:00:00,True,IT|small
assignment_00000023,exp_onboarding,account_00000179,control,2025-05-12 00:00:00,True,DE|micro
assignment_00000024,exp_onboarding,account_00000237,treatment,2025-05-29 00:00:00,True,ES|medium
assignment_00000025,exp_onboarding,account_00000005,control,2025-02-27 00:00:00,True,DE|medium
assignment_00000026,exp_onboarding,account_00000234,treatment,2025-03-31 00:00:00,True,IT|medium
assignment_00000027,exp_onboarding,account_00000114,treatment,2025-04-22 00:00:00,True,GB|micro
assignment_00000028,exp_onboarding,account_00000248,treatment,2025-03-13 00:00:00,True,CH|micro
assignment_00000029,exp_onboarding,account_00000172,treatment,2025-03-13 00:00:00,True,GB|small
assignment_00000030,exp_onboarding,account_00000067,treatment,2025-02-15 00:00:00,True,ES|small
assignment_00000031,exp_onboarding,account_00000001,control,2025-03-27 00:00:00,True,BE|micro
assignment_00000032,exp_onboarding,account_00000026,treatment,2025-02-10 00:00:00,True,GB|micro
assignment_00000033,exp_onboarding,account_00000233,control,2025-05-04 00:00:00,True,FR|medium
assignment_00000034,exp_onboarding,account_00000136,control,2025-04-15 00:00:00,True,AT|medium
assignment_00000035,exp_onboarding,account_00000141,control,2025-05-30 00:00:00,True,DE|small
assignment_00000036,exp_onboarding,account_00000074,control,2025-03-21 00:00:00,True,DE|micro
assignment_00000037,exp_onboarding,account_00000054,control,2025-03-11 00:00:00,True,DE|small
assignment_00000038,exp_onboarding,account_00000014,control,2025-05-03 00:00:00,True,DE|medium
assignment_00000039,exp_onboarding,account_00000214,treatment,2025-02-05 00:00:00,True,DE|micro
assignment_00000040,exp_onboarding,account_00000215,treatment,2025-05-08 00:00:00,True,IE|micro
assignment_00000041,exp_onboarding,account_00000106,treatment,2025-05-08 00:00:00,True,NO|small
assignment_00000042,exp_onboarding,account_00000174,control,2025-03-01 00:00:00,True,BE|small
assignment_00000043,exp_onboarding,account_00000011,control,2025-05-22 00:00:00,True,DE|small
assignment_00000044,exp_onboarding,account_00000192,treatment,2025-05-23 00:00:00,True,DE|small
assignment_00000045,exp_onboarding,account_00000089,treatment,2025-05-03 00:00:00,True,SE|small
assignment_00000046,exp_onboarding,account_00000107,control,2025-03-29 00:00:00,True,CZ|medium
assignment_00000047,exp_onboarding,account_00000207,control,2025-03-26 00:00:00,True,DE|medium
assignment_00000048,exp_onboarding,account_00000227,treatment,2025-04-27 00:00:00,True,NO|micro
assignment_00000049,exp_onboarding,account_00000050,treatment,2025-05-31 00:00:00,True,DE|small
assignment_00000050,exp_onboarding,account_00000157,control,2025-03-16 00:00:00,True,NL|micro
assignment_00000051,exp_onboarding,account_00000148,control,2025-05-18 00:00:00,True,DK|medium
assignment_00000052,exp_onboarding,account_00000012,control,2025-03-10 00:00:00,True,AT|micro
assignment_00000053,exp_onboarding,account_00000096,control,2025-05-12 00:00:00,True,AT|medium
assignment_00000054,exp_onboarding,account_00000166,control,2025-05-03 00:00:00,True,FR|micro
