exposure_id,assignment_id,exposed_at,exposure_surface,exposure_count
exposure_00000001,assignment_00000001,2025-03-30 08:00:00,onboarding_checklist,4
exposure_00000002,assignment_00000002,2025-05-03 19:00:00,onboarding_checklist,4
exposure_00000003,assignment_00000003,2025-02-21 11:00:00,onboarding_checklist,2
exposure_00000004,assignment_00000004,2025-04-23 13:00:00,onboarding_checklist,1
exposure_00000005,assignment_00000006,2025-03-10 17:00:00,onboarding_checklist,4
exposure_00000006,assignment_00000007,2025-05-05 19:00:00,onboarding_checklist,3
exposure_00000007,assignment_00000009,2025-05-17 06:00:00,onboarding_checklist,2
exposure_00000008,assignment_00000010,2025-03-20 11:00:00,onboarding_checklist,2
exposure_00000009,assignment_00000011,2025-05-02 03:00:00,onboarding_checklist,2
exposure_00000010,assignment_00000012,2025-04-25 02:00:00,onboarding_checklist,4
exposure_00000011,assignment_00000013,2025-02-20 18:00:00,onboarding_checklist,2
exposure_00000012,assignment_00000014,2025-04-09 22:00:00,onboarding_checklist,1
exposure_00000013,assignment_00000015,2025-05-01 16:00:00,onboarding_checklist,2
exposure_00000014,assignment_00000016,2025-02-12 23:00:00,onboarding_checklist,1
exposure_00000015,assignment_00000017,2025-04-24 18:00:00,onboarding_checklist,2
exposure_00000016,assignment_00000018,2025-05-03 02:00:00,onboarding_checklist,2
exposure_00000017,assignment_00000019,2025-06-04 05:00:00,onboarding_checklist,2
exposure_00000018,assignment_00000020,2025-03-23 01:00:00,onboarding_checklist,2
exposure_00000019,assignment_00000021,2025-04-07 22:00:00,onboarding_checklist,3
exposure_00000020,assignment_00000022,2025-05-05 12:00:00,onboarding_checklist,1
exposure_00000021,assignment_00000023,2025-05-12 06:00:00,onboarding_checklist,4
exposure_00000022,assignment_00000024,2025-05-30 17:00:00,onboarding_checklist,3
exposure_00000023,assignment_00000025,2025-02-27 16:00:00,onboarding_checklist,3
exposure_00000024,assignment_00000026,2025-04-02 02:00:00,onboarding_checklist,1
exposure_00000025,assignment_00000027,2025-04-24 07:00:00,onboarding_checklist,1
exposure_00000026,assignment_00000028,2025-03-15 04:00:00,onboarding_checklist,3
exposure_00000027,assignment_00000029,2025-03-16 01:00:00,onboarding_checklist,3
exposure_00000028,assignment_00000030,2025-02-15 08:00:00,onboarding_checklist,1
exposure_00000029,assignment_00000031,2025-03-28 12:00:00,onboarding_checklist,4
exposure_00000030,assignment_00000033,2025-05-04 03:00:00,onboarding_checklist,1
exposure_00000031,assignment_00000034,2025-04-15 17:00:00,onboarding_checklist,1
exposure_00000032,assignment_00000035,2025-05-30 03:00:00,onboarding_checklist,1
exposure_00000033,assignment_00000036,2025-03-23 12:00:00,onboarding_checklist,3
exposure_00000034,assignment_00000037,2025-03-11 16:00:00,onboarding_checklist,4
exposure_00000035,assignment_00000038,2025-05-03 12:00:00,onboarding_checklist,1
exposure_00000036,assignment_00000039,2025-02-08 20:00:00,onboarding_checklist,3
exposure_00000037,assignment_00000040,2025-05-10 09:00:00,onboarding_checklist,2
exposure_00000038,assignment_00000041,2025-05-11 06:00:00,onboarding_checklist,2
exposure_00000039,assignment_00000042,2025-03-01 12:00:00,onboarding_checklist,2
exposure_00000040,assignment_00000044,2025-05-23 04:00:00,onboarding_checklist,2
exposure_00000041,assignment_00000045,2025-05-05 17:00:00,onboarding_checklist,3
exposure_00000042,assignment_00000046,2025-03-31 04:00:00,onboarding_checklist,1
exposure_00000043,assignment_00000047,2025-03-27 03:00:00,onboarding_checklist,1
exposure_00000044,assignment_00000048,2025-04-30 09:00:00,onboarding_checklist,1
exposure_00000045,assignment_00000049,2025-06-01 08:00:00,onboarding_checklist,3
exposure_00000046,assignment_00000050,2025-03-16 09:00:00,onboarding_checklist,2
exposure_00000047,assignment_00000051,2025-05-21 21:00:00,onboarding_checklist,4
exposure_00000048,assignment_00000052,2025-03-12 01:00:00,onboarding_checklist,3
exposure_00000049,assignment_00000055,2025-04-25 06:00:00,onboarding_checklist,1
exposure_00000050,assignment_00000056,2025-05-09 13:00:00,onboarding_checklist,4
