outcome_id,assignment_id,observation_end,primary_outcome,guardrail_outcome,revenue_outcome_eur
outcome_00000001,assignment_00000001,2025-06-26,1.0,0.0,234.76
outcome_00000002,assignment_00000002,2025-08-01,1.0,0.0,138.16
outcome_00000003,assignment_00000003,2025-05-20,1.0,0.0,363.42
outcome_00000004,assignment_00000004,2025-07-20,1.0,1.0,145.15
outcome_00000005,assignment_00000005,2025-05-10,1.0,0.0,265.94
outcome_00000006,assignment_00000006,2025-06-06,0.0,0.0,0.0
outcome_00000007,assignment_00000007,2025-08-02,1.0,2.0,439.16
outcome_00000008,assignment_00000008,2025-07-18,1.0,0.0,188.55
outcome_00000009,assignment_00000009,2025-08-15,1.0,1.0,306.01
outcome_00000010,assignment_00000010,2025-06-17,1.0,0.0,1073.27
outcome_00000011,assignment_00000011,2025-07-28,1.0,0.0,321.06
outcome_00000012,assignment_00000012,2025-07-22,1.0,0.0,995.97
outcome_00000013,assignment_00000013,2025-05-19,1.0,0.0,520.27
outcome_00000014,assignment_00000014,2025-07-08,1.0,0.0,213.5
outcome_00000015,assignment_00000015,2025-07-27,1.0,1.0,203.6
outcome_00000016,assignment_00000016,2025-05-11,1.0,0.0,1507.36
outcome_00000017,assignment_00000017,2025-07-20,1.0,0.0,688.63
outcome_00000018,assignment_00000018,2025-07-30,1.0,0.0,334.52
outcome_00000019,assignment_00000019,2025-08-30,0.0,1.0,0.0
outcome_00000020,assignment_00000020,2025-06-20,1.0,0.0,370.88
outcome_00000021,assignment_00000021,2025-07-04,1.0,0.0,588.94
outcome_00000022,assignment_00000022,2025-07-31,1.0,0.0,261.39
outcome_00000023,assignment_00000023,2025-08-10,1.0,1.0,179.62
outcome_00000024,assignment_00000024,2025-08-27,0.0,0.0,0.0
outcome_00000025,assignment_00000025,2025-05-28,1.0,0.0,157.14
outcome_00000026,assignment_00000026,2025-06-29,1.0,1.0,816.37
outcome_00000027,assignment_00000027,2025-07-21,1.0,0.0,1187.61
outcome_00000028,assignment_00000028,2025-06-11,1.0,0.0,686.56
outcome_00000029,assignment_00000029,2025-06-11,1.0,0.0,1405.86
outcome_00000030,assignment_00000030,2025-05-16,0.0,0.0,0.0
outcome_00000031,assignment_00000031,2025-06-25,1.0,0.0,110.56
outcome_00000032,assignment_00000032,2025-05-11,1.0,1.0,211.38
outcome_00000033,assignment_00000033,2025-08-02,1.0,0.0,265.34
outcome_00000034,assignment_00000034,2025-07-14,0.0,0.0,0.0
outcome_00000035,assignment_00000035,2025-08-28,1.0,0.0,1054.5
outcome_00000036,assignment_00000036,2025-06-19,1.0,1.0,341.57
outcome_00000037,assignment_00000037,2025-06-09,0.0,0.0,0.0
outcome_00000038,assignment_00000038,2025-08-01,1.0,0.0,586.24
outcome_00000039,assignment_00000039,2025-05-06,1.0,1.0,313.52
outcome_00000040,assignment_00000040,2025-08-06,1.0,0.0,432.78
outcome_00000041,assignment_00000041,2025-08-06,1.0,1.0,422.59
outcome_00000042,assignment_00000042,2025-05-30,0.0,1.0,0.0
outcome_00000043,assignment_00000043,2025-08-20,1.0,0.0,954.9
outcome_00000044,assignment_00000044,2025-08-21,1.0,0.0,268.42
outcome_00000045,assignment_00000045,2025-08-01,0.0,1.0,0.0
outcome_00000046,assignment_00000046,2025-06-27,1.0,0.0,380.46
outcome_00000047,assignment_00000047,2025-06-24,0.0,0.0,0.0
outcome_00000048,assignment_00000048,2025-07-26,0.0,0.0,0.0
outcome_00000049,assignment_00000049,2025-08-29,0.0,0.0,0.0
outcome_00000050,assignment_00000050,2025-06-14,1.0,0.0,594.66
outcome_00000051,assignment_00000051,2025-08-16,0.0,1.0,0.0
outcome_00000052,assignment_00000052,2025-06-08,1.0,0.0,353.29
outcome_00000053,assignment_00000053,2025-08-10,1.0,0.0,803.65
outcome_00000054,assignment_00000054,2025-08-01,1.0,0.0,314.32
outcome_00000055,assignment_00000055,2025-07-23,0.0,2.0,0.0
outcome_00000056,assignment_00000056,2025-08-06,1.0,0.0,532.65
outcome_00000057,assignment_00000057,2025-06-18,0.0,0.0,0.0
outcome_00000058,assignment_00000058,2025-05-08,0.0,3.0,0.0
outcome_00000059,assignment_00000059,2025-06-25,0.0,1.0,0.0
outcome_00000060,assignment_00000060,2025-08-11,1.0,0.0,268.27
outcome_00000061,assignment_00000061,2025-07-02,1.0,0.0,244.55
outcome_00000062,assignment_00000062,2025-05-03,0.0,0.0,0.0
outcome_00000063,assignment_00000063,2025-06-10,0.0,1.0,0.0
outcome_00000064,assignment_00000064,2025-07-31,1.0,0.0,502.39
outcome_00000065,assignment_00000065,2025-06-08,1.0,0.0,241.09
outcome_00000066,assignment_00000066,2025-06-01,1.0,0.0,844.92
outcome_00000067,assignment_00000067,2025-08-25,0.0,0.0,0.0
outcome_00000068,assignment_00000068,2025-05-07,0.0,1.0,0.0
outcome_00000069,assignment_00000069,2025-06-30,0.0,0.0,0.0
outcome_00000070,assignment_00000070,2025-05-07,0.0,0.0,0.0
outcome_00000071,assignment_00000071,2025-06-23,0.0,0.0,0.0
outcome_00000072,assignment_00000072,2025-05-26,1.0,0.0,534.73
outcome_00000073,assignment_00000073,2025-08-28,0.0,0.0,0.0
outcome_00000074,assignment_00000074,2025-06-14,1.0,0.0,178.51
outcome_00000075,assignment_00000075,2025-08-23,1.0,0.0,208.02
outcome_00000076,assignment_00000076,2025-08-28,1.0,0.0,414.26
outcome_00000077,assignment_00000077,2025-05-07,1.0,0.0,739.42
outcome_00000078,assignment_00000078,2025-06-25,1.0,1.0,405.78
outcome_00000079,assignment_00000079,2025-05-08,1.0,1.0,447.39
outcome_00000080,assignment_00000080,2025-06-18,1.0,0.0,905.6
outcome_00000081,assignment_00000081,2025-11-04,0.0,242.67459,0.0
outcome_00000082,assignment_00000082,2025-11-16,0.0,221.469703,0.0
outcome_00000083,assignment_00000083,2025-09-06,1.0,513.202466,6158.43
outcome_00000084,assignment_00000084,2025-11-04,1.0,275.875184,3310.5
outcome_00000085,assignment_00000085,2025-10-14,1.0,271.861199,3262.33
outcome_00000086,assignment_00000086,2025-07-30,0.0,253.43955,0.0
outcome_00000087,assignment_00000087,2025-09-16,1.0,418.10305,5017.24
outcome_00000088,assignment_00000088,2025-10-13,0.0,496.131721,0.0
outcome_00000089,assignment_00000089,2025-10-03,0.0,225.084511,0.0
outcome_00000090,assignment_00000090,2025-09-21,0.0,467.139548,0.0
outcome_00000091,assignment_00000091,2025-10-25,0.0,383.842982,0.0
outcome_00000092,assignment_00000092,2025-09-15,1.0,410.122988,4921.48
outcome_00000093,assignment_00000093,2025-10-13,0.0,329.366479,0.0
outcome_00000094,assignment_00000094,2025-08-13,1.0,263.621107,3163.45
outcome_00000095,assignment_00000095,2025-08-23,1.0,454.089677,5449.08
outcome_00000096,assignment_00000096,2025-09-07,0.0,439.015988,0.0
outcome_00000097,assignment_00000097,2025-11-26,0.0,318.914067,0.0
outcome_00000098,assignment_00000098,2025-09-28,0.0,292.506527,0.0
outcome_00000099,assignment_00000099,2025-09-02,1.0,312.540486,3750.49
outcome_00000100,assignment_00000100,2025-09-02,0.0,469.487605,0.0
outcome_00000101,assignment_00000101,2025-09-19,1.0,471.507861,5658.09
outcome_00000102,assignment_00000102,2025-08-15,1.0,371.597214,4459.17
outcome_00000103,assignment_00000103,2025-10-18,1.0,325.33619,3904.03
outcome_00000104,assignment_00000104,2025-11-20,0.0,556.221665,0.0
outcome_00000105,assignment_00000105,2025-08-19,0.0,535.057523,0.0
outcome_00000106,assignment_00000106,2025-08-22,1.0,408.846438,4906.16
outcome_00000107,assignment_00000107,2025-10-21,0.0,391.639181,0.0
outcome_00000108,assignment_00000108,2025-08-31,1.0,496.450309,5957.4
outcome_00000109,assignment_00000109,2025-08-10,1.0,514.462075,6173.54
outcome_00000110,assignment_00000110,2025-11-18,0.0,372.370804,0.0
outcome_00000111,assignment_00000111,2025-09-26,0.0,113.152685,0.0
outcome_00000112,assignment_00000112,2025-09-25,1.0,213.225562,2558.71
outcome_00000113,assignment_00000113,2025-11-19,0.0,235.358435,0.0
outcome_00000114,assignment_00000114,2025-08-27,0.0,451.234245,0.0
outcome_00000115,assignment_00000115,2025-10-06,0.0,450.493159,0.0
outcome_00000116,assignment_00000116,2025-08-03,0.0,430.563938,0.0
outcome_00000117,assignment_00000117,2025-09-02,1.0,250.307742,3003.69
outcome_00000118,assignment_00000118,2025-09-03,0.0,428.834219,0.0
outcome_00000119,assignment_00000119,2025-09-16,0.0,305.309744,0.0
outcome_00000120,assignment_00000120,2025-09-22,1.0,342.378758,4108.55
outcome_00000121,assignment_00000121,2025-08-17,0.0,376.573334,0.0
outcome_00000122,assignment_00000122,2025-11-13,0.0,455.303125,0.0
outcome_00000123,assignment_00000123,2025-11-23,0.0,609.006678,0.0
outcome_00000124,assignment_00000124,2025-08-18,1.0,488.675397,5864.1
outcome_00000125,assignment_00000125,2025-10-27,1.0,458.800895,5505.61
outcome_00000126,assignment_00000126,2025-11-15,0.0,395.426787,0.0
outcome_00000127,assignment_00000127,2025-11-09,1.0,399.910227,4798.92
outcome_00000128,assignment_00000128,2025-10-10,0.0,446.93937,0.0
outcome_00000129,assignment_00000129,2025-09-30,0.0,307.236523,0.0
outcome_00000130,assignment_00000130,2025-08-31,0.0,468.71383,0.0
outcome_00000131,assignment_00000131,2025-11-20,1.0,317.509225,3810.11
outcome_00000132,assignment_00000132,2025-09-26,1.0,354.860721,4258.33
outcome_00000133,assignment_00000133,2025-10-06,0.0,521.550267,0.0
outcome_00000134,assignment_00000134,2025-11-17,0.0,1.0,865.8
outcome_00000135,assignment_00000135,2025-10-03,0.0,1.0,316.62
outcome_00000136,assignment_00000136,2026-01-02,0.0,0.0,984.99
outcome_00000137,assignment_00000137,2025-11-14,0.0,1.0,534.41
outcome_00000138,assignment_00000138,2025-11-27,0.0,0.0,489.51
outcome_00000139,assignment_00000139,2025-12-24,1.0,1.0,404.85
outcome_00000140,assignment_00000140,2026-01-05,0.0,0.0,909.62
outcome_00000141,assignment_00000141,2025-12-04,0.0,1.0,196.7
outcome_00000142,assignment_00000142,2025-12-22,1.0,1.0,913.81
outcome_00000143,assignment_00000143,2025-11-27,0.0,1.0,762.99
outcome_00000144,assignment_00000144,2025-12-18,0.0,1.0,289.51
outcome_00000145,assignment_00000145,2025-11-25,0.0,0.0,500.33
outcome_00000146,assignment_00000146,2025-09-30,1.0,1.0,921.93
outcome_00000147,assignment_00000147,2025-11-14,0.0,1.0,895.96
outcome_00000148,assignment_00000148,2025-09-29,1.0,1.0,773.1
outcome_00000149,assignment_00000149,2025-12-31,0.0,1.0,346.94
outcome_00000150,assignment_00000150,2026-01-18,0.0,1.0,439.52
outcome_00000151,assignment_00000151,2025-12-13,0.0,0.0,429.96
outcome_00000152,assignment_00000152,2025-11-07,0.0,0.0,621.72
outcome_00000153,assignment_00000153,2025-11-11,0.0,0.0,364.93
outcome_00000154,assignment_00000154,2025-11-01,0.0,1.0,726.4
outcome_00000155,assignment_00000155,2025-12-03,1.0,1.0,852.41
outcome_00000156,assignment_00000156,2025-12-23,1.0,1.0,1424.1
outcome_00000157,assignment_00000157,2025-12-21,1.0,1.0,1419.44
outcome_00000158,assignment_00000158,2025-11-16,0.0,1.0,643.91
outcome_00000159,assignment_00000159,2025-12-30,1.0,1.0,139.6
outcome_00000160,assignment_00000160,2026-01-11,1.0,1.0,479.23
outcome_00000161,assignment_00000161,2025-10-04,0.0,1.0,365.39
outcome_00000162,assignment_00000162,2025-12-16,0.0,1.0,255.01
outcome_00000163,assignment_00000163,2025-10-20,1.0,1.0,263.72
outcome_00000164,assignment_00000164,2026-01-25,0.0,1.0,1894.65
outcome_00000165,assignment_00000165,2025-11-14,0.0,1.0,835.7
outcome_00000166,assignment_00000166,2025-12-14,0.0,1.0,468.81
outcome_00000167,assignment_00000167,2026-01-08,0.0,1.0,782.94
outcome_00000168,assignment_00000168,2025-10-18,0.0,1.0,1096.66
outcome_00000169,assignment_00000169,2025-10-30,0.0,1.0,622.01
outcome_00000170,assignment_00000170,2025-12-08,1.0,1.0,525.75
outcome_00000171,assignment_00000171,2025-10-15,1.0,1.0,773.55
outcome_00000172,assignment_00000172,2026-01-03,0.0,1.0,1061.61
outcome_00000173,assignment_00000173,2025-12-20,0.0,1.0,966.43
outcome_00000174,assignment_00000174,2026-01-02,1.0,1.0,715.44
outcome_00000175,assignment_00000175,2025-11-23,0.0,0.0,328.51
