rate_date,currency_code,eur_rate
2024-01-01,CHF,1.038239
2024-02-01,CHF,1.025806
2024-03-01,CHF,1.040047
2024-04-01,CHF,1.050244
2024-05-01,CHF,1.060469
2024-06-01,CHF,1.072687
2024-07-01,CHF,1.054645
2024-08-01,CHF,1.038351
2024-09-01,CHF,1.019862
2024-10-01,CHF,0.992975
2024-11-01,CHF,1.019437
2024-12-01,CHF,1.033194
2025-01-01,CHF,1.026122
2025-02-01,CHF,1.032811
2025-03-01,CHF,1.04144
2025-04-01,CHF,1.035312
2025-05-01,CHF,1.026656
2025-06-01,CHF,1.009124
2025-07-01,CHF,1.023346
2025-08-01,CHF,1.017686
2025-09-01,CHF,0.988607
2025-10-01,CHF,1.00273
2025-11-01,CHF,1.032503
2025-12-01,CHF,1.018852
2026-01-01,CHF,0.993147
2026-02-01,CHF,1.021837
2026-03-01,CHF,1.035686
2026-04-01,CHF,1.049938
2026-05-01,CHF,1.059783
2026-06-01,CHF,1.068687
2024-01-01,CZK,0.039802
2024-02-01,CZK,0.038776
2024-03-01,CZK,0.03981
2024-04-01,CZK,0.039033
2024-05-01,CZK,0.040017
2024-06-01,CZK,0.03935
2024-07-01,CZK,0.039957
2024-08-01,CZK,0.039327
2024-09-01,CZK,0.038454
2024-10-01,CZK,0.039928
2024-11-01,CZK,0.040351
2024-12-01,CZK,0.040835
2025-01-01,CZK,0.040619
2025-02-01,CZK,0.040301
2025-03-01,CZK,0.04132
2025-04-01,CZK,0.041554
2025-05-01,CZK,0.041339
2025-06-01,CZK,0.040911
2025-07-01,CZK,0.040792
2025-08-01,CZK,0.039919
2025-09-01,CZK,0.040778
2025-10-01,CZK,0.041158
2025-11-01,CZK,0.042527
2025-12-01,CZK,0.041278
2026-01-01,CZK,0.042007
2026-02-01,CZK,0.040211
2026-03-01,CZK,0.039455
2026-04-01,CZK,0.039648
2026-05-01,CZK,0.039019
2026-06-01,CZK,0.039943
2024-01-01,DKK,0.134672
2024-02-01,DKK,0.137543
2024-03-01,DKK,0.14052
2024-04-01,DKK,0.143505
2024-05-01,DKK,0.143098
2024-06-01,DKK,0.142869
2024-07-01,DKK,0.141426
2024-08-01,DKK,0.142022
2024-09-01,DKK,0.142199
2024-10-01,DKK,0.146069
2024-11-01,DKK,0.14937
2024-12-01,DKK,0.151934
2025-01-01,DKK,0.153417
2025-02-01,DKK,0.154055
2025-03-01,DKK,0.155585
2025-04-01,DKK,0.1541
2025-05-01,DKK,0.156376
2025-06-01,DKK,0.158779
2025-07-01,DKK,0.166399
2025-08-01,DKK,0.16599
2025-09-01,DKK,0.166034
2025-10-01,DKK,0.1675
2025-11-01,DKK,0.1675
2025-12-01,DKK,0.166325
2026-01-01,DKK,0.1675
2026-02-01,DKK,0.165431
2026-03-01,DKK,0.1675
2026-04-01,DKK,0.1675
2026-05-01,DKK,0.1675
2026-06-01,DKK,0.162455
2024-01-01,EUR,1.0
2024-02-01,EUR,1.0
2024-03-01,EUR,1.0
2024-04-01,EUR,1.0
2024-05-01,EUR,1.0
2024-06-01,EUR,1.0
2024-07-01,EUR,1.0
2024-08-01,EUR,1.0
2024-09-01,EUR,1.0
2024-10-01,EUR,1.0
2024-11-01,EUR,1.0
2024-12-01,EUR,1.0
2025-01-01,EUR,1.0
2025-02-01,EUR,1.0
2025-03-01,EUR,1.0
2025-04-01,EUR,1.0
2025-05-01,EUR,1.0
2025-06-01,EUR,1.0
2025-07-01,EUR,1.0
2025-08-01,EUR,1.0
2025-09-01,EUR,1.0
2025-10-01,EUR,1.0
2025-11-01,EUR,1.0
2025-12-01,EUR,1.0
2026-01-01,EUR,1.0
2026-02-01,EUR,1.0
2026-03-01,EUR,1.0
2026-04-01,EUR,1.0
2026-05-01,EUR,1.0
2026-06-01,EUR,1.0
2024-01-01,GBP,1.193315
2024-02-01,GBP,1.175514
2024-03-01,GBP,1.150662
2024-04-01,GBP,1.159177
2024-05-01,GBP,1.176986
2024-06-01,GBP,1.185499
2024-07-01,GBP,1.168226
2024-08-01,GBP,1.174583
2024-09-01,GBP,1.215615
2024-10-01,GBP,1.202909
2024-11-01,GBP,1.213807
2024-12-01,GBP,1.223104
2025-01-01,GBP,1.206274
2025-02-01,GBP,1.193241
2025-03-01,GBP,1.19685
2025-04-01,GBP,1.178824
2025-05-01,GBP,1.178248
2025-06-01,GBP,1.166351
2025-07-01,GBP,1.178914
2025-08-01,GBP,1.166774
2025-09-01,GBP,1.155404
2025-10-01,GBP,1.135693
2025-11-01,GBP,1.160366
2025-12-01,GBP,1.185394
2026-01-01,GBP,1.183107
2026-02-01,GBP,1.184911
2026-03-01,GBP,1.168837
2026-04-01,GBP,1.167758
2026-05-01,GBP,1.165976
2026-06-01,GBP,1.140748
2024-01-01,NOK,0.083707
2024-02-01,NOK,0.084493
2024-03-01,NOK,0.08451
2024-04-01,NOK,0.086984
2024-05-01,NOK,0.086983
2024-06-01,NOK,0.08579
2024-07-01,NOK,0.085573
2024-08-01,NOK,0.086967
2024-09-01,NOK,0.085798
2024-10-01,NOK,0.08444
2024-11-01,NOK,0.083471
2024-12-01,NOK,0.081977
2025-01-01,NOK,0.081233
2025-02-01,NOK,0.08278
2025-03-01,NOK,0.081648
2025-04-01,NOK,0.079627
2025-05-01,NOK,0.078583
2025-06-01,NOK,0.078691
2025-07-01,NOK,0.07946
2025-08-01,NOK,0.078689
2025-09-01,NOK,0.076342
2025-10-01,NOK,0.076882
2025-11-01,NOK,0.076183
2025-12-01,NOK,0.07712
