integration_id,account_id,integration_type,connected_at,disconnected_at,integration_status,monthly_sync_volume
integration_00000001,account_00000004,calendar,2024-07-18 00:00:00,,active,295
integration_00000002,account_00000004,webhook,2024-07-22 00:00:00,,active,1399
integration_00000003,account_00000008,accounting,2026-01-24 00:00:00,,active,1732
integration_00000004,account_00000013,webhook,2024-09-24 00:00:00,,active,953
integration_00000005,account_00000013,accounting,2024-09-27 00:00:00,,active,56
integration_00000006,account_00000019,webhook,2026-04-14 00:00:00,,active,3768
integration_00000007,account_00000019,accounting,2026-04-27 00:00:00,,active,5080
integration_00000008,account_00000019,calendar,2026-04-10 00:00:00,,active,559
integration_00000009,account_00000022,accounting,2024-07-14 00:00:00,,active,1213
integration_00000010,account_00000024,identity,2025-09-14 00:00:00,,active,1027
integration_00000011,account_00000039,accounting,2026-08-01 00:00:00,,active,1219
integration_00000012,account_00000039,calendar,2026-07-26 00:00:00,,active,2636
integration_00000013,account_00000044,webhook,2024-04-11 00:00:00,,active,12234
integration_00000014,account_00000044,calendar,2024-04-22 00:00:00,,active,34295
integration_00000015,account_00000056,crm,2025-06-25 00:00:00,,active,1164
integration_00000016,account_00000069,erp,2024-04-29 00:00:00,,active,607
integration_00000017,account_00000079,accounting,2025-12-12 00:00:00,,active,1271
integration_00000018,account_00000079,identity,2025-10-15 00:00:00,,active,361
integration_00000019,account_00000079,accounting,2025-10-24 00:00:00,,active,747
integration_00000020,account_00000080,erp,2025-09-16 00:00:00,,active,1411
integration_00000021,account_00000080,webhook,2025-10-18 00:00:00,,active,739
integration_00000022,account_00000085,identity,2024-06-06 00:00:00,,active,604
integration_00000023,account_00000086,crm,2026-02-13 00:00:00,,active,650
integration_00000024,account_00000095,crm,2025-06-18 00:00:00,,active,265
integration_00000025,account_00000095,accounting,2025-06-17 00:00:00,,active,547
integration_00000026,account_00000095,erp,2025-06-18 00:00:00,,active,352
integration_00000027,account_00000101,accounting,2026-05-21 00:00:00,,active,2296
integration_00000028,account_00000104,accounting,2024-11-09 00:00:00,,active,4288
integration_00000029,account_00000105,webhook,2026-05-30 00:00:00,,active,2425
integration_00000030,account_00000106,erp,2024-08-15 00:00:00,,active,1586
integration_00000031,account_00000108,erp,2025-07-24 00:00:00,,active,819
integration_00000032,account_00000108,erp,2025-08-26 00:00:00,,active,2299
integration_00000033,account_00000110,crm,2024-07-16 00:00:00,,active,3796
integration_00000034,account_00000122,erp,2025-12-31 00:00:00,,active,643
integration_00000035,account_00000126,crm,2026-05-01 00:00:00,,active,2942
integration_00000036,account_00000127,webhook,2025-03-19 00:00:00,,active,1657
integration_00000037,account_00000128,calendar,2024-11-09 00:00:00,,active,1982
integration_00000038,account_00000131,crm,2025-07-21 00:00:00,,active,2609
integration_00000039,account_00000131,crm,2025-07-27 00:00:00,,active,1510
integration_00000040,account_00000131,webhook,2025-06-04 00:00:00,,active,3217
integration_00000041,account_00000134,webhook,2024-08-26 00:00:00,,active,382
integration_00000042,account_00000134,crm,2024-06-11 00:00:00,,active,1227
integration_00000043,account_00000134,calendar,2024-06-22 00:00:00,,active,3079
integration_00000044,account_00000137,crm,2025-11-14 00:00:00,,active,429
integration_00000045,account_00000137,webhook,2026-01-21 00:00:00,,active,661
integration_00000046,account_00000152,erp,2024-08-23 00:00:00,,active,556
integration_00000047,account_00000152,calendar,2024-07-18 00:00:00,,active,799
integration_00000048,account_00000161,identity,2025-06-02 00:00:00,,active,1655
integration_00000049,account_00000161,webhook,2025-07-04 00:00:00,,active,3336
integration_00000050,account_00000161,accounting,2025-04-15 00:00:00,,active,2172
integration_00000051,account_00000173,identity,2024-05-13 00:00:00,,active,3781
integration_00000052,account_00000177,erp,2025-09-27 00:00:00,,active,3003
integration_00000053,account_00000177,crm,2025-10-28 00:00:00,,active,530
integration_00000054,account_00000184,erp,2025-10-11 00:00:00,,active,354
integration_00000055,account_00000184,identity,2025-08-01 00:00:00,,active,4506
integration_00000056,account_00000192,erp,2025-03-06 00:00:00,,active,946
integration_00000057,account_00000192,crm,2025-04-07 00:00:00,,active,2937
integration_00000058,account_00000204,identity,2025-12-31 00:00:00,,active,296
integration_00000059,account_00000204,crm,2025-10-11 00:00:00,,active,321
integration_00000060,account_00000204,accounting,2025-11-02 00:00:00,,active,6890
integration_00000061,account_00000205,webhook,2026-08-05 00:00:00,,active,2482
integration_00000062,account_00000206,crm,2026-05-11 00:00:00,,active,766
integration_00000063,account_00000207,calendar,2025-05-29 00:00:00,,active,215
integration_00000064,account_00000207,calendar,2025-08-22 00:00:00,,active,3303
integration_00000065,account_00000208,calendar,2025-04-29 00:00:00,,active,1719
integration_00000066,account_00000213,accounting,2026-07-23 00:00:00,,active,906
integration_00000067,account_00000213,accounting,2026-07-15 00:00:00,,active,1743
integration_00000068,account_00000222,calendar,2025-03-16 00:00:00,,active,594
integration_00000069,account_00000234,webhook,2024-09-23 00:00:00,,active,1133
integration_00000070,account_00000244,crm,2024-11-30 00:00:00,,active,2787
integration_00000071,account_00000245,crm,2026-07-30 00:00:00,,active,5323
