lead_id,account_id,created_at,source_channel,lead_status,mql_at,sql_at,lead_score,campaign_id
lead_00000001,account_00000001,2024-12-12 11:00:00,referral,converted,2024-12-16 11:00:00,,85,
lead_00000002,account_00000002,2026-03-10 08:00:00,referral,converted,2026-03-15 08:00:00,,78,
lead_00000003,account_00000003,2026-03-18 13:00:00,outbound_sales,disqualified,,,41,
lead_00000004,account_00000004,2024-03-17 10:00:00,referral,converted,2024-03-22 10:00:00,2024-03-25 10:00:00,89,
lead_00000005,account_00000005,2024-12-18 17:00:00,outbound_sales,disqualified,2024-12-24 17:00:00,2024-12-28 17:00:00,51,
lead_00000006,account_00000006,2025-02-02 13:00:00,paid_search,qualified,2025-02-04 13:00:00,2025-02-08 13:00:00,86,campaign_00000305
lead_00000007,account_00000007,2024-11-03 11:00:00,partner,disqualified,,,8,campaign_00000362
lead_00000008,account_00000008,2025-11-02 09:00:00,partner,converted,2025-11-04 09:00:00,2025-11-07 09:00:00,56,campaign_00000231
lead_00000009,account_00000009,2024-12-28 08:00:00,partner,converted,,,39,campaign_00000201
lead_00000010,account_00000010,2025-06-05 18:00:00,paid_search,disqualified,2025-06-07 18:00:00,2025-06-10 18:00:00,47,campaign_00000223
lead_00000011,account_00000011,2024-01-03 16:00:00,partner,disqualified,,,30,campaign_00000173
lead_00000012,account_00000012,2024-12-31 12:00:00,outbound_sales,disqualified,2025-01-04 12:00:00,2025-01-08 12:00:00,53,
lead_00000013,account_00000013,2024-06-18 12:00:00,outbound_sales,converted,2024-06-19 12:00:00,2024-06-27 12:00:00,54,
lead_00000014,account_00000014,2024-04-09 12:00:00,paid_search,qualified,2024-04-14 12:00:00,,61,campaign_00000045
lead_00000015,account_00000015,2025-12-16 12:00:00,organic_search,disqualified,,,42,
lead_00000016,account_00000016,2026-03-14 08:00:00,paid_search,disqualified,,,29,campaign_00000332
lead_00000017,account_00000017,2024-12-17 11:00:00,organic_search,disqualified,,,40,
lead_00000018,account_00000018,2025-02-25 11:00:00,partner,disqualified,2025-03-01 11:00:00,2025-03-10 11:00:00,48,campaign_00000213
lead_00000019,account_00000019,2026-02-14 16:00:00,paid_social,converted,,,33,campaign_00000217
lead_00000020,account_00000020,2024-09-21 09:00:00,paid_social,disqualified,,,27,campaign_00000392
lead_00000021,account_00000021,2025-06-19 09:00:00,organic_search,qualified,2025-06-22 09:00:00,2025-06-23 09:00:00,71,
lead_00000022,account_00000022,2024-05-01 08:00:00,referral,converted,2024-05-08 08:00:00,,66,
lead_00000023,account_00000023,2024-06-20 13:00:00,partner,converted,2024-06-26 13:00:00,2024-07-03 13:00:00,67,campaign_00000184
lead_00000024,account_00000024,2025-04-08 18:00:00,referral,converted,2025-04-15 18:00:00,2025-04-21 18:00:00,49,
lead_00000025,account_00000025,2024-12-26 08:00:00,events,disqualified,,,0,campaign_00000166
lead_00000026,account_00000026,2024-06-01 18:00:00,partner,qualified,2024-06-03 18:00:00,2024-06-05 18:00:00,67,campaign_00000012
lead_00000027,account_00000027,2025-03-16 14:00:00,organic_search,disqualified,2025-03-18 14:00:00,2025-03-22 14:00:00,51,
lead_00000028,account_00000028,2025-11-12 17:00:00,outbound_sales,qualified,2025-11-18 17:00:00,2025-11-27 17:00:00,71,
lead_00000029,account_00000029,2026-03-28 14:00:00,outbound_sales,disqualified,2026-03-29 14:00:00,2026-04-07 14:00:00,48,
lead_00000030,account_00000030,2025-07-19 09:00:00,outbound_sales,disqualified,,,37,
lead_00000031,account_00000031,2024-07-25 18:00:00,organic_search,qualified,2024-07-26 18:00:00,2024-07-31 18:00:00,62,
lead_00000032,account_00000032,2026-05-17 14:00:00,events,qualified,2026-05-24 14:00:00,,70,campaign_00000409
lead_00000033,account_00000033,2025-12-18 15:00:00,partner,disqualified,,,0,campaign_00000091
lead_00000034,account_00000034,2026-05-08 10:00:00,paid_search,disqualified,,,26,campaign_00000092
lead_00000035,account_00000035,2024-11-26 17:00:00,organic_search,converted,2024-11-29 17:00:00,,68,
lead_00000036,account_00000036,2024-05-27 10:00:00,paid_social,disqualified,,,32,campaign_00000084
lead_00000037,account_00000037,2024-12-01 15:00:00,partner,disqualified,,,39,campaign_00000231
lead_00000038,account_00000038,2025-06-18 15:00:00,outbound_sales,disqualified,,,34,
lead_00000039,account_00000039,2026-04-25 09:00:00,paid_social,converted,2026-04-26 09:00:00,2026-04-27 09:00:00,92,campaign_00000183
lead_00000040,account_00000040,2025-09-06 13:00:00,partner,converted,2025-09-07 13:00:00,2025-09-15 13:00:00,45,campaign_00000244
lead_00000041,account_00000041,2026-02-01 13:00:00,paid_search,qualified,2026-02-01 13:00:00,,58,campaign_00000101
lead_00000042,account_00000042,2024-07-06 14:00:00,organic_search,disqualified,,,42,
lead_00000043,account_00000043,2025-11-12 14:00:00,partner,converted,2025-11-19 14:00:00,2025-11-21 14:00:00,55,campaign_00000130
lead_00000044,account_00000044,2024-02-05 10:00:00,paid_search,converted,2024-02-07 10:00:00,2024-02-16 10:00:00,72,campaign_00000047
lead_00000045,account_00000045,2025-01-04 14:00:00,paid_search,qualified,2025-01-04 14:00:00,,72,campaign_00000377
lead_00000046,account_00000046,2026-04-16 10:00:00,paid_search,disqualified,,,17,campaign_00000142
lead_00000047,account_00000047,2025-04-19 14:00:00,referral,converted,,,33,
lead_00000048,account_00000048,2025-12-12 12:00:00,organic_search,qualified,2025-12-19 12:00:00,,59,
lead_00000049,account_00000049,2026-01-28 17:00:00,partner,disqualified,,,27,campaign_00000001
lead_00000050,account_00000050,2024-08-28 14:00:00,outbound_sales,disqualified,2024-08-30 14:00:00,2024-09-09 14:00:00,46,
lead_00000051,account_00000051,2025-04-27 13:00:00,paid_search,converted,2025-04-28 13:00:00,,67,campaign_00000310
lead_00000052,account_00000052,2026-04-20 14:00:00,paid_search,qualified,2026-04-21 14:00:00,,64,campaign_00000288
lead_00000053,account_00000053,2025-10-08 17:00:00,direct,disqualified,,,36,
lead_00000054,account_00000054,2025-04-25 13:00:00,organic_search,disqualified,,,16,
lead_00000055,account_00000055,2026-05-20 13:00:00,paid_social,disqualified,,,41,campaign_00000117
lead_00000056,account_00000056,2025-01-24 12:00:00,outbound_sales,converted,,,36,
lead_00000057,account_00000057,2024-09-08 08:00:00,outbound_sales,disqualified,,,36,
lead_00000058,account_00000058,2025-01-23 10:00:00,paid_social,qualified,2025-01-28 10:00:00,2025-02-06 10:00:00,65,campaign_00000225
lead_00000059,account_00000059,2024-02-19 10:00:00,partner,disqualified,,,36,campaign_00000006
lead_00000060,account_00000060,2024-12-04 09:00:00,referral,qualified,2024-12-08 09:00:00,,59,
lead_00000061,account_00000061,2026-04-01 12:00:00,events,qualified,2026-04-05 12:00:00,2026-04-16 12:00:00,65,campaign_00000086
lead_00000062,account_00000062,2025-03-24 12:00:00,organic_search,disqualified,,,27,
lead_00000063,account_00000063,2025-04-25 10:00:00,outbound_sales,disqualified,,,39,
lead_00000064,account_00000064,2026-03-25 08:00:00,outbound_sales,disqualified,,,38,
lead_00000065,account_00000065,2025-05-12 14:00:00,direct,qualified,2025-05-18 14:00:00,2025-05-23 14:00:00,62,
lead_00000066,account_00000066,2025-03-15 08:00:00,organic_search,disqualified,,,36,
lead_00000067,account_00000067,2025-02-17 08:00:00,paid_search,disqualified,,,19,campaign_00000337
lead_00000068,account_00000068,2024-10-19 18:00:00,organic_search,disqualified,,,34,
lead_00000069,account_00000069,2024-04-04 18:00:00,referral,converted,,,30,
lead_00000070,account_00000070,2025-08-24 15:00:00,organic_search,qualified,2025-08-28 15:00:00,,74,
lead_00000071,account_00000071,2024-08-25 08:00:00,organic_search,disqualified,,,38,
