nps_response_id,account_id,response_date,nps_score,nps_group,response_channel,comment_theme
nps_00000001,account_00000008,2026-06-01,7,passive,email,reporting
nps_00000002,account_00000022,2026-06-01,6,detractor,email,pricing
nps_00000003,account_00000044,2026-06-01,7,passive,email,mobile_experience
nps_00000004,account_00000069,2026-06-01,9,promoter,email,integrations
nps_00000005,account_00000089,2026-06-01,6,detractor,in_app,support
nps_00000006,account_00000092,2026-06-01,6,detractor,in_app,reporting
nps_00000007,account_00000101,2026-06-01,6,detractor,in_app,integrations
nps_00000008,account_00000105,2026-06-01,7,passive,in_app,integrations
nps_00000009,account_00000110,2026-06-01,7,passive,in_app,integrations
nps_00000010,account_00000122,2026-06-01,10,promoter,email,ease_of_use
nps_00000011,account_00000129,2026-06-01,5,detractor,in_app,pricing
nps_00000012,account_00000130,2026-01-01,7,passive,email,integrations
nps_00000013,account_00000136,2026-06-01,5,detractor,in_app,support
nps_00000014,account_00000141,2026-06-01,9,promoter,in_app,integrations
nps_00000015,account_00000152,2026-06-01,6,detractor,email,pricing
nps_00000016,account_00000222,2026-06-01,9,promoter,email,mobile_experience
nps_00000017,account_00000228,2026-06-01,9,promoter,email,support
