onboarding_task_id,account_id,task_name,task_sequence,due_date,completed_at,task_status,owner_type
onboard_00000001,account_00000001,company_profile,1,2025-01-15,2025-01-12 00:00:00,completed,customer
onboard_00000002,account_00000001,invite_team,2,2025-01-20,2025-01-12 00:00:00,completed,customer
onboard_00000003,account_00000001,create_workspace,3,2025-01-25,2025-01-27 00:00:00,completed,customer
onboard_00000004,account_00000001,create_first_work_order,4,2025-01-30,,open,customer
onboard_00000005,account_00000001,complete_first_work_order,5,2025-02-04,,open,customer
onboard_00000006,account_00000001,connect_integration,6,2025-02-09,2025-02-07 00:00:00,completed,customer
onboard_00000007,account_00000002,company_profile,1,2026-04-04,,open,customer
onboard_00000008,account_00000002,invite_team,2,2026-04-09,2026-04-13 00:00:00,completed,customer
onboard_00000009,account_00000002,create_workspace,3,2026-04-14,,open,customer
onboard_00000010,account_00000002,create_first_work_order,4,2026-04-19,,open,customer
onboard_00000011,account_00000002,complete_first_work_order,5,2026-04-24,,open,customer
onboard_00000012,account_00000002,connect_integration,6,2026-04-29,2026-04-13 00:00:00,completed,customer
onboard_00000013,account_00000004,company_profile,1,2024-06-02,2024-06-04 00:00:00,completed,customer_success
onboard_00000014,account_00000004,invite_team,2,2024-06-07,,open,customer_success
onboard_00000015,account_00000004,create_workspace,3,2024-06-12,2024-06-11 00:00:00,completed,customer_success
onboard_00000016,account_00000004,create_first_work_order,4,2024-06-17,,open,customer_success
onboard_00000017,account_00000004,complete_first_work_order,5,2024-06-22,2024-06-24 00:00:00,completed,customer_success
onboard_00000018,account_00000004,connect_integration,6,2024-06-27,,open,customer_success
onboard_00000019,account_00000008,company_profile,1,2025-12-27,,open,customer_success
onboard_00000020,account_00000008,invite_team,2,2026-01-01,2026-01-03 00:00:00,completed,customer_success
onboard_00000021,account_00000008,create_workspace,3,2026-01-06,2026-01-02 00:00:00,completed,customer_success
onboard_00000022,account_00000008,create_first_work_order,4,2026-01-11,,open,customer_success
onboard_00000023,account_00000008,complete_first_work_order,5,2026-01-16,2026-01-09 00:00:00,completed,customer_success
onboard_00000024,account_00000008,connect_integration,6,2026-01-21,2026-01-09 00:00:00,completed,customer_success
onboard_00000025,account_00000009,company_profile,1,2025-03-31,,open,customer_success
onboard_00000026,account_00000009,invite_team,2,2025-04-05,2025-04-07 00:00:00,completed,customer_success
onboard_00000027,account_00000009,create_workspace,3,2025-04-10,,open,customer_success
onboard_00000028,account_00000009,create_first_work_order,4,2025-04-15,,open,customer_success
onboard_00000029,account_00000009,complete_first_work_order,5,2025-04-20,,open,customer_success
onboard_00000030,account_00000009,connect_integration,6,2025-04-25,,open,customer_success
onboard_00000031,account_00000013,company_profile,1,2024-07-28,2024-07-25 00:00:00,completed,customer_success
onboard_00000032,account_00000013,invite_team,2,2024-08-02,2024-07-30 00:00:00,completed,customer_success
onboard_00000033,account_00000013,create_workspace,3,2024-08-07,,open,customer_success
onboard_00000034,account_00000013,create_first_work_order,4,2024-08-12,2024-07-31 00:00:00,completed,customer_success
onboard_00000035,account_00000013,complete_first_work_order,5,2024-08-17,2024-08-08 00:00:00,completed,customer_success
onboard_00000036,account_00000013,connect_integration,6,2024-08-22,2024-08-03 00:00:00,completed,customer_success
onboard_00000037,account_00000019,company_profile,1,2026-04-01,2026-04-02 00:00:00,completed,customer_success
onboard_00000038,account_00000019,invite_team,2,2026-04-06,2026-04-02 00:00:00,completed,customer_success
onboard_00000039,account_00000019,create_workspace,3,2026-04-11,,open,customer_success
onboard_00000040,account_00000019,create_first_work_order,4,2026-04-16,,open,customer_success
onboard_00000041,account_00000019,complete_first_work_order,5,2026-04-21,,open,customer_success
onboard_00000042,account_00000019,connect_integration,6,2026-04-26,,open,customer_success
onboard_00000043,account_00000022,company_profile,1,2024-06-07,2024-06-04 00:00:00,completed,customer
onboard_00000044,account_00000022,invite_team,2,2024-06-12,,open,customer
onboard_00000045,account_00000022,create_workspace,3,2024-06-17,2024-06-05 00:00:00,completed,customer
onboard_00000046,account_00000022,create_first_work_order,4,2024-06-22,2024-06-07 00:00:00,completed,customer
onboard_00000047,account_00000022,complete_first_work_order,5,2024-06-27,,open,customer
onboard_00000048,account_00000022,connect_integration,6,2024-07-02,,open,customer
onboard_00000049,account_00000023,company_profile,1,2024-07-18,,open,customer_success
onboard_00000050,account_00000023,invite_team,2,2024-07-23,2024-07-23 00:00:00,completed,customer_success
onboard_00000051,account_00000023,create_workspace,3,2024-07-28,,open,customer_success
onboard_00000052,account_00000023,create_first_work_order,4,2024-08-02,2024-08-05 00:00:00,completed,customer_success
onboard_00000053,account_00000023,complete_first_work_order,5,2024-08-07,,open,customer_success
onboard_00000054,account_00000023,connect_integration,6,2024-08-12,2024-07-21 00:00:00,completed,customer_success
onboard_00000055,account_00000024,company_profile,1,2025-07-07,2025-07-05 00:00:00,completed,customer_success
onboard_00000056,account_00000024,invite_team,2,2025-07-12,,open,customer_success
onboard_00000057,account_00000024,create_workspace,3,2025-07-17,2025-07-15 00:00:00,completed,customer_success
onboard_00000058,account_00000024,create_first_work_order,4,2025-07-22,2025-07-18 00:00:00,completed,customer_success
onboard_00000059,account_00000024,complete_first_work_order,5,2025-07-27,,open,customer_success
onboard_00000060,account_00000024,connect_integration,6,2025-08-01,2025-07-11 00:00:00,completed,customer_success
onboard_00000061,account_00000035,company_profile,1,2025-01-01,2025-01-03 00:00:00,completed,customer
onboard_00000062,account_00000035,invite_team,2,2025-01-06,2025-01-08 00:00:00,completed,customer
onboard_00000063,account_00000035,create_workspace,3,2025-01-11,2025-01-06 00:00:00,completed,customer
onboard_00000064,account_00000035,create_first_work_order,4,2025-01-16,2024-12-31 00:00:00,completed,customer
onboard_00000065,account_00000035,complete_first_work_order,5,2025-01-21,2025-01-04 00:00:00,completed,customer
onboard_00000066,account_00000035,connect_integration,6,2025-01-26,2025-02-06 00:00:00,completed,customer
onboard_00000067,account_00000039,company_profile,1,2026-07-01,2026-06-27 00:00:00,completed,customer_success
