stage_event_id,opportunity_id,stage_name,entered_at,exited_at,stage_sequence
stage_00000001,opp_00000001,qualification,2024-03-25 10:00:00,2024-04-04 10:00:00,1
stage_00000002,opp_00000001,discovery,2024-04-04 10:00:00,2024-04-18 10:00:00,2
stage_00000003,opp_00000001,demonstration,2024-04-18 10:00:00,2024-05-02 10:00:00,3
stage_00000004,opp_00000001,proposal,2024-05-02 10:00:00,2024-05-13 10:00:00,4
stage_00000005,opp_00000001,negotiation,2024-05-13 10:00:00,2024-05-28 00:00:00,5
stage_00000006,opp_00000002,qualification,2024-12-28 17:00:00,2024-12-31 17:00:00,1
stage_00000007,opp_00000002,discovery,2024-12-31 17:00:00,2025-01-12 17:00:00,2
stage_00000008,opp_00000002,demonstration,2025-01-12 17:00:00,2025-02-02 17:00:00,3
stage_00000009,opp_00000002,proposal,2025-02-02 17:00:00,2025-02-07 17:00:00,4
stage_00000010,opp_00000003,qualification,2025-02-08 13:00:00,2025-02-22 13:00:00,1
stage_00000011,opp_00000004,qualification,2025-11-07 09:00:00,2025-11-14 09:00:00,1
stage_00000012,opp_00000004,discovery,2025-11-14 09:00:00,2025-11-21 09:00:00,2
stage_00000013,opp_00000004,demonstration,2025-11-21 09:00:00,2025-12-03 09:00:00,3
stage_00000014,opp_00000004,proposal,2025-12-03 09:00:00,2025-12-14 09:00:00,4
stage_00000015,opp_00000004,negotiation,2025-12-14 09:00:00,2025-12-22 00:00:00,5
stage_00000016,opp_00000005,qualification,2025-06-10 18:00:00,2025-06-24 18:00:00,1
stage_00000017,opp_00000005,discovery,2025-06-24 18:00:00,2025-07-06 18:00:00,2
stage_00000018,opp_00000006,qualification,2025-01-08 12:00:00,2025-01-19 12:00:00,1
stage_00000019,opp_00000006,discovery,2025-01-19 12:00:00,2025-02-05 12:00:00,2
stage_00000020,opp_00000006,demonstration,2025-02-05 12:00:00,2025-02-23 12:00:00,3
stage_00000021,opp_00000007,qualification,2024-06-27 12:00:00,2024-07-07 12:00:00,1
stage_00000022,opp_00000007,discovery,2024-07-07 12:00:00,2024-07-11 12:00:00,2
stage_00000023,opp_00000007,demonstration,2024-07-11 12:00:00,2024-07-18 12:00:00,3
stage_00000024,opp_00000007,proposal,2024-07-18 12:00:00,2024-07-27 12:00:00,4
stage_00000025,opp_00000007,negotiation,2024-07-27 12:00:00,2024-07-23 00:00:00,5
stage_00000026,opp_00000008,qualification,2025-03-10 11:00:00,2025-03-29 11:00:00,1
