payment_attempt_id,invoice_id,payment_method_id,attempt_at,attempt_number,amount_local,currency_code,attempt_status,failure_reason,provider_response_code
payattempt_00000001,invoice_00000001,pm_00000001,2025-01-10 00:00:00,1,61.71,EUR,succeeded,,approved
payattempt_00000002,invoice_00000002,pm_00000001,2025-02-01 00:00:00,1,61.71,EUR,succeeded,,approved
payattempt_00000003,invoice_00000003,pm_00000001,2025-03-01 00:00:00,1,61.71,EUR,succeeded,,approved
payattempt_00000004,invoice_00000004,pm_00000001,2025-04-01 00:00:00,1,66.65,EUR,succeeded,,approved
payattempt_00000005,invoice_00000005,pm_00000001,2025-05-01 00:00:00,1,66.65,EUR,succeeded,,approved
payattempt_00000006,invoice_00000006,pm_00000001,2025-06-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000007,invoice_00000007,pm_00000001,2025-07-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000008,invoice_00000008,pm_00000001,2025-08-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000009,invoice_00000009,pm_00000001,2025-09-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000010,invoice_00000010,pm_00000001,2025-10-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000011,invoice_00000011,pm_00000001,2025-11-01 00:00:00,1,283.24,EUR,failed,bank_decline,05
payattempt_00000012,invoice_00000011,pm_00000001,2025-11-04 00:00:00,2,283.24,EUR,failed,bank_decline,05
payattempt_00000013,invoice_00000011,pm_00000001,2025-11-09 00:00:00,3,283.24,EUR,succeeded,,approved
payattempt_00000014,invoice_00000012,pm_00000001,2025-12-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000015,invoice_00000013,pm_00000001,2026-01-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000016,invoice_00000014,pm_00000001,2026-02-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000017,invoice_00000015,pm_00000001,2026-03-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000018,invoice_00000016,pm_00000001,2026-04-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000019,invoice_00000017,pm_00000001,2026-05-01 00:00:00,1,283.24,EUR,succeeded,,approved
