payment_method_id,account_id,method_type,provider,created_at,expiry_month,expiry_year,active_flag
pm_00000001,account_00000001,sepa_debit,Adyen,2025-01-09 00:00:00,,,True
pm_00000002,account_00000002,card,Adyen,2026-03-29 00:00:00,12,2029,True
pm_00000003,account_00000004,sepa_debit,Adyen,2024-05-27 00:00:00,,,True
pm_00000004,account_00000008,sepa_debit,Adyen,2025-12-21 00:00:00,,,True
pm_00000005,account_00000009,sepa_debit,Adyen,2025-03-25 00:00:00,,,True
pm_00000006,account_00000013,sepa_debit,Adyen,2024-07-22 00:00:00,,,True
pm_00000007,account_00000019,bank_transfer,bank,2026-03-26 00:00:00,,,True
pm_00000008,account_00000022,card,Adyen,2024-06-01 00:00:00,10,2030,True
pm_00000009,account_00000023,card,Adyen,2024-07-12 00:00:00,8,2028,True
pm_00000010,account_00000024,sepa_debit,Adyen,2025-07-01 00:00:00,,,True
pm_00000011,account_00000035,sepa_debit,Adyen,2024-12-26 00:00:00,,,True
pm_00000012,account_00000039,sepa_debit,Adyen,2026-06-25 00:00:00,,,True
pm_00000013,account_00000040,sepa_debit,Adyen,2025-11-14 00:00:00,,,True
pm_00000014,account_00000043,sepa_debit,Adyen,2026-03-10 00:00:00,,,True
pm_00000015,account_00000044,card,Adyen,2024-04-23 00:00:00,1,2028,True
pm_00000016,account_00000047,bank_transfer,bank,2025-05-21 00:00:00,,,True
pm_00000017,account_00000051,sepa_debit,Adyen,2025-05-19 00:00:00,,,True
pm_00000018,account_00000056,sepa_debit,Adyen,2025-04-18 00:00:00,,,True
pm_00000019,account_00000069,card,Adyen,2024-04-27 00:00:00,7,2029,True
pm_00000020,account_00000079,card,Adyen,2025-10-27 00:00:00,9,2027,True
pm_00000021,account_00000080,sepa_debit,Adyen,2025-09-24 00:00:00,,,True
pm_00000022,account_00000083,card,Adyen,2024-08-30 00:00:00,3,2028,True
pm_00000023,account_00000085,card,Adyen,2024-03-06 00:00:00,6,2027,True
pm_00000024,account_00000086,sepa_debit,Adyen,2025-12-28 00:00:00,,,True
pm_00000025,account_00000087,bank_transfer,bank,2025-02-18 00:00:00,,,True
pm_00000026,account_00000089,card,Adyen,2024-12-09 00:00:00,7,2030,True
pm_00000027,account_00000092,card,Adyen,2026-02-18 00:00:00,8,2027,True
pm_00000028,account_00000093,sepa_debit,Adyen,2024-11-17 00:00:00,,,True
pm_00000029,account_00000094,sepa_debit,Adyen,2026-02-09 00:00:00,,,True
pm_00000030,account_00000095,sepa_debit,Adyen,2025-05-29 00:00:00,,,True
pm_00000031,account_00000100,card,Adyen,2026-05-10 00:00:00,8,2027,True
pm_00000032,account_00000101,card,Adyen,2026-05-24 00:00:00,10,2030,True
pm_00000033,account_00000104,sepa_debit,Adyen,2024-08-07 00:00:00,,,True
pm_00000034,account_00000105,sepa_debit,Adyen,2026-05-29 00:00:00,,,True
