payment_id,invoice_id,payment_attempt_id,captured_at,amount_local,currency_code,amount_eur,payment_status,settlement_date
payment_00000001,invoice_00000001,payattempt_00000001,2025-01-10 00:00:00,61.71,EUR,61.71,captured,2025-01-12
payment_00000002,invoice_00000002,payattempt_00000002,2025-02-01 00:00:00,61.71,EUR,61.71,captured,2025-02-03
payment_00000003,invoice_00000003,payattempt_00000003,2025-03-01 00:00:00,61.71,EUR,61.71,captured,2025-03-03
payment_00000004,invoice_00000004,payattempt_00000004,2025-04-01 00:00:00,66.65,EUR,66.65,captured,2025-04-03
payment_00000005,invoice_00000005,payattempt_00000005,2025-05-01 00:00:00,66.65,EUR,66.65,captured,2025-05-03
payment_00000006,invoice_00000006,payattempt_00000006,2025-06-01 00:00:00,283.24,EUR,283.24,captured,2025-06-03
payment_00000007,invoice_00000007,payattempt_00000007,2025-07-01 00:00:00,283.24,EUR,283.24,captured,2025-07-03
payment_00000008,invoice_00000008,payattempt_00000008,2025-08-01 00:00:00,283.24,EUR,283.24,captured,2025-08-03
payment_00000009,invoice_00000009,payattempt_00000009,2025-09-01 00:00:00,283.24,EUR,283.24,captured,2025-09-03
payment_00000010,invoice_00000010,payattempt_00000010,2025-10-01 00:00:00,283.24,EUR,283.24,captured,2025-10-03
payment_00000011,invoice_00000011,payattempt_00000013,2025-11-09 00:00:00,283.24,EUR,283.24,captured,2025-11-11
payment_00000012,invoice_00000012,payattempt_00000014,2025-12-01 00:00:00,283.24,EUR,283.24,captured,2025-12-03
payment_00000013,invoice_00000013,payattempt_00000015,2026-01-01 00:00:00,283.24,EUR,283.24,captured,2026-01-03
payment_00000014,invoice_00000014,payattempt_00000016,2026-02-01 00:00:00,283.24,EUR,283.24,captured,2026-02-03
payment_00000015,invoice_00000015,payattempt_00000017,2026-03-01 00:00:00,283.24,EUR,283.24,captured,2026-03-03
payment_00000016,invoice_00000016,payattempt_00000018,2026-04-01 00:00:00,283.24,EUR,283.24,captured,2026-04-03
payment_00000017,invoice_00000017,payattempt_00000019,2026-05-01 00:00:00,283.24,EUR,283.24,captured,2026-05-03
payment_00000018,invoice_00000018,payattempt_00000020,2026-06-01 00:00:00,283.24,EUR,283.24,captured,2026-06-03
payment_00000019,invoice_00000019,payattempt_00000021,2026-03-30 00:00:00,50.97,EUR,50.97,captured,2026-04-01
payment_00000020,invoice_00000021,payattempt_00000026,2026-05-01 00:00:00,50.97,EUR,50.97,captured,2026-05-03
payment_00000021,invoice_00000023,payattempt_00000029,2024-05-28 00:00:00,24746.25,NOK,2152.5,captured,2024-05-30
payment_00000022,invoice_00000024,payattempt_00000030,2025-05-01 00:00:00,38000.55,NOK,2986.2,captured,2025-05-03
payment_00000023,invoice_00000026,payattempt_00000034,2025-12-22 00:00:00,49.21,EUR,49.21,captured,2025-12-24
payment_00000024,invoice_00000027,payattempt_00000035,2026-01-01 00:00:00,49.21,EUR,49.21,captured,2026-01-03
payment_00000025,invoice_00000028,payattempt_00000036,2026-02-01 00:00:00,49.21,EUR,49.21,captured,2026-02-03
payment_00000026,invoice_00000029,payattempt_00000037,2026-03-01 00:00:00,49.21,EUR,49.21,captured,2026-03-03
payment_00000027,invoice_00000030,payattempt_00000038,2026-04-01 00:00:00,49.21,EUR,49.21,captured,2026-04-03
payment_00000028,invoice_00000031,payattempt_00000039,2026-05-01 00:00:00,49.21,EUR,49.21,captured,2026-05-03
payment_00000029,invoice_00000032,payattempt_00000040,2026-06-01 00:00:00,49.21,EUR,49.21,captured,2026-06-03
payment_00000030,invoice_00000033,payattempt_00000041,2025-03-26 00:00:00,294.03,EUR,294.03,captured,2025-03-28
payment_00000031,invoice_00000034,payattempt_00000042,2025-04-01 00:00:00,317.55,EUR,317.55,captured,2025-04-03
payment_00000032,invoice_00000035,payattempt_00000043,2025-05-01 00:00:00,317.55,EUR,317.55,captured,2025-05-03
payment_00000033,invoice_00000037,payattempt_00000046,2024-07-23 00:00:00,12399.35,EUR,12399.35,captured,2024-07-25
payment_00000034,invoice_00000038,payattempt_00000047,2025-07-01 00:00:00,21332.35,EUR,21332.35,captured,2025-07-03
payment_00000035,invoice_00000039,payattempt_00000048,2026-03-27 00:00:00,14410.87,EUR,14410.87,captured,2026-03-29
payment_00000036,invoice_00000040,payattempt_00000049,2026-04-01 00:00:00,14410.87,EUR,14410.87,captured,2026-04-03
payment_00000037,invoice_00000041,payattempt_00000050,2026-05-01 00:00:00,14410.87,EUR,14410.87,captured,2026-05-03
payment_00000038,invoice_00000042,payattempt_00000051,2026-06-01 00:00:00,14410.87,EUR,14410.87,captured,2026-06-03
payment_00000039,invoice_00000043,payattempt_00000052,2024-06-02 00:00:00,2392.06,SEK,213.75,captured,2024-06-04
payment_00000040,invoice_00000044,payattempt_00000053,2024-07-01 00:00:00,2413.4,SEK,213.75,captured,2024-07-03
payment_00000041,invoice_00000045,payattempt_00000054,2024-08-01 00:00:00,2449.35,SEK,213.75,captured,2024-08-03
payment_00000042,invoice_00000046,payattempt_00000055,2024-09-01 00:00:00,2507.19,SEK,213.75,captured,2024-09-03
payment_00000043,invoice_00000047,payattempt_00000056,2024-10-01 00:00:00,2556.73,SEK,213.75,captured,2024-10-03
payment_00000044,invoice_00000048,payattempt_00000057,2024-11-01 00:00:00,2443.53,SEK,213.75,captured,2024-11-03
payment_00000045,invoice_00000049,payattempt_00000058,2024-12-01 00:00:00,3902.1,SEK,337.5,captured,2024-12-03
payment_00000046,invoice_00000050,payattempt_00000059,2025-01-01 00:00:00,3865.49,SEK,337.5,captured,2025-01-03
payment_00000047,invoice_00000051,payattempt_00000060,2025-02-01 00:00:00,3922.19,SEK,337.5,captured,2025-02-03
payment_00000048,invoice_00000052,payattempt_00000061,2025-03-01 00:00:00,3968.81,SEK,337.5,captured,2025-03-03
payment_00000049,invoice_00000053,payattempt_00000062,2025-04-01 00:00:00,4243.21,SEK,364.5,captured,2025-04-03
payment_00000050,invoice_00000054,payattempt_00000063,2025-05-01 00:00:00,4213.68,SEK,364.5,captured,2025-05-03
payment_00000051,invoice_00000055,payattempt_00000064,2025-06-01 00:00:00,4112.24,SEK,364.5,captured,2025-06-03
payment_00000052,invoice_00000056,payattempt_00000065,2025-07-01 00:00:00,4125.21,SEK,364.5,captured,2025-07-03
