plan_price_id,plan_id,country_code,currency_code,billing_frequency,effective_start,effective_end,base_price,seat_price,annual_discount_pct
pp_00000001,plan_starter,DE,EUR,monthly,2024-01-01,2025-03-31,39.0,12.0,0.0
pp_00000002,plan_starter,DE,EUR,annual,2024-01-01,2025-03-31,39.0,12.0,0.15
pp_00000003,plan_starter,DE,EUR,monthly,2025-04-01,2026-06-30,42.12,12.96,0.0
pp_00000004,plan_starter,DE,EUR,annual,2025-04-01,2026-06-30,42.12,12.96,0.15
pp_00000005,plan_professional,DE,EUR,monthly,2024-01-01,2025-03-31,99.0,19.0,0.0
pp_00000006,plan_professional,DE,EUR,annual,2024-01-01,2025-03-31,99.0,19.0,0.18
pp_00000007,plan_professional,DE,EUR,monthly,2025-04-01,2026-06-30,106.92,20.52,0.0
pp_00000008,plan_professional,DE,EUR,annual,2025-04-01,2026-06-30,106.92,20.52,0.18
pp_00000009,plan_business,DE,EUR,monthly,2024-01-01,2025-03-31,349.0,27.0,0.0
pp_00000010,plan_business,DE,EUR,annual,2024-01-01,2025-03-31,349.0,27.0,0.2
pp_00000011,plan_business,DE,EUR,monthly,2025-04-01,2026-06-30,376.92,29.16,0.0
pp_00000012,plan_business,DE,EUR,annual,2025-04-01,2026-06-30,376.92,29.16,0.2
pp_00000013,plan_enterprise,DE,EUR,monthly,2024-01-01,2025-03-31,1500.0,34.0,0.0
pp_00000014,plan_enterprise,DE,EUR,annual,2024-01-01,2025-03-31,1500.0,34.0,0.24
pp_00000015,plan_enterprise,DE,EUR,monthly,2025-04-01,2026-06-30,1620.0,36.72,0.0
pp_00000016,plan_enterprise,DE,EUR,annual,2025-04-01,2026-06-30,1620.0,36.72,0.24
pp_00000017,plan_starter,AT,EUR,monthly,2024-01-01,2025-03-31,39.0,12.0,0.0
pp_00000018,plan_starter,AT,EUR,annual,2024-01-01,2025-03-31,39.0,12.0,0.15
pp_00000019,plan_starter,AT,EUR,monthly,2025-04-01,2026-06-30,42.12,12.96,0.0
pp_00000020,plan_starter,AT,EUR,annual,2025-04-01,2026-06-30,42.12,12.96,0.15
pp_00000021,plan_professional,AT,EUR,monthly,2024-01-01,2025-03-31,99.0,19.0,0.0
pp_00000022,plan_professional,AT,EUR,annual,2024-01-01,2025-03-31,99.0,19.0,0.18
pp_00000023,plan_professional,AT,EUR,monthly,2025-04-01,2026-06-30,106.92,20.52,0.0
pp_00000024,plan_professional,AT,EUR,annual,2025-04-01,2026-06-30,106.92,20.52,0.18
pp_00000025,plan_business,AT,EUR,monthly,2024-01-01,2025-03-31,349.0,27.0,0.0
pp_00000026,plan_business,AT,EUR,annual,2024-01-01,2025-03-31,349.0,27.0,0.2
pp_00000027,plan_business,AT,EUR,monthly,2025-04-01,2026-06-30,376.92,29.16,0.0
pp_00000028,plan_business,AT,EUR,annual,2025-04-01,2026-06-30,376.92,29.16,0.2
pp_00000029,plan_enterprise,AT,EUR,monthly,2024-01-01,2025-03-31,1500.0,34.0,0.0
pp_00000030,plan_enterprise,AT,EUR,annual,2024-01-01,2025-03-31,1500.0,34.0,0.24
pp_00000031,plan_enterprise,AT,EUR,monthly,2025-04-01,2026-06-30,1620.0,36.72,0.0
pp_00000032,plan_enterprise,AT,EUR,annual,2025-04-01,2026-06-30,1620.0,36.72,0.24
pp_00000033,plan_starter,CH,CHF,monthly,2024-01-01,2025-03-31,37.56,11.56,0.0
pp_00000034,plan_starter,CH,CHF,annual,2024-01-01,2025-03-31,37.56,11.56,0.15
pp_00000035,plan_starter,CH,CHF,monthly,2025-04-01,2026-06-30,40.68,12.52,0.0
pp_00000036,plan_starter,CH,CHF,annual,2025-04-01,2026-06-30,40.68,12.52,0.15
pp_00000037,plan_professional,CH,CHF,monthly,2024-01-01,2025-03-31,95.35,18.3,0.0
pp_00000038,plan_professional,CH,CHF,annual,2024-01-01,2025-03-31,95.35,18.3,0.18
pp_00000039,plan_professional,CH,CHF,monthly,2025-04-01,2026-06-30,103.27,19.82,0.0
pp_00000040,plan_professional,CH,CHF,annual,2025-04-01,2026-06-30,103.27,19.82,0.18
pp_00000041,plan_business,CH,CHF,monthly,2024-01-01,2025-03-31,336.15,26.01,0.0
pp_00000042,plan_business,CH,CHF,annual,2024-01-01,2025-03-31,336.15,26.01,0.2
pp_00000043,plan_business,CH,CHF,monthly,2025-04-01,2026-06-30,364.06,28.17,0.0
pp_00000044,plan_business,CH,CHF,annual,2025-04-01,2026-06-30,364.06,28.17,0.2
pp_00000045,plan_enterprise,CH,CHF,monthly,2024-01-01,2025-03-31,1444.75,32.75,0.0
pp_00000046,plan_enterprise,CH,CHF,annual,2024-01-01,2025-03-31,1444.75,32.75,0.24
pp_00000047,plan_enterprise,CH,CHF,monthly,2025-04-01,2026-06-30,1564.75,35.47,0.0
pp_00000048,plan_enterprise,CH,CHF,annual,2025-04-01,2026-06-30,1564.75,35.47,0.24
pp_00000049,plan_starter,NL,EUR,monthly,2024-01-01,2025-03-31,39.0,12.0,0.0
pp_00000050,plan_starter,NL,EUR,annual,2024-01-01,2025-03-31,39.0,12.0,0.15
pp_00000051,plan_starter,NL,EUR,monthly,2025-04-01,2026-06-30,42.12,12.96,0.0
pp_00000052,plan_starter,NL,EUR,annual,2025-04-01,2026-06-30,42.12,12.96,0.15
pp_00000053,plan_professional,NL,EUR,monthly,2024-01-01,2025-03-31,99.0,19.0,0.0
pp_00000054,plan_professional,NL,EUR,annual,2024-01-01,2025-03-31,99.0,19.0,0.18
pp_00000055,plan_professional,NL,EUR,monthly,2025-04-01,2026-06-30,106.92,20.52,0.0
