product_event_id,account_id,user_id,event_at,event_name,feature_area,platform,session_id,workspace_id,numeric_value
event_00000001,account_00000001,user_00000004,2025-01-13 06:53:37,dashboard_viewed,analytics,web,session_00000001,workspace_00000001,3.4478
event_00000002,account_00000001,user_00000001,2025-01-13 15:47:44,document_uploaded,documents,mobile,session_00000002,workspace_00000001,0.5661
event_00000003,account_00000001,user_00000004,2025-01-16 07:05:04,mobile_check_in,mobile,mobile,session_00000003,workspace_00000001,16.7794
event_00000004,account_00000001,user_00000001,2025-01-16 23:55:01,api_request,api,mobile,session_00000004,workspace_00000001,2.3722
event_00000005,account_00000001,user_00000002,2025-01-23 04:22:24,automation_run,automation,web,session_00000005,workspace_00000001,2.0781
event_00000006,account_00000001,user_00000004,2025-01-23 08:34:02,document_uploaded,documents,mobile,session_00000006,workspace_00000001,3.0416
event_00000007,account_00000001,user_00000001,2025-01-27 04:39:53,automation_run,automation,web,session_00000007,workspace_00000001,2.1019
event_00000008,account_00000001,user_00000004,2025-01-27 04:50:56,dashboard_viewed,analytics,web,session_00000008,workspace_00000001,5.5411
event_00000009,account_00000001,user_00000004,2025-02-05 21:40:35,automation_run,automation,mobile,session_00000009,workspace_00000001,9.217
event_00000010,account_00000001,user_00000002,2025-02-05 21:58:12,document_uploaded,documents,web,session_00000010,workspace_00000001,2.016
event_00000011,account_00000001,user_00000003,2025-02-13 15:18:37,automation_run,automation,mobile,session_00000011,workspace_00000001,0.5388
event_00000012,account_00000001,user_00000004,2025-02-13 21:36:12,work_order_completed,work_orders,mobile,session_00000012,workspace_00000001,0.9901
event_00000013,account_00000001,user_00000002,2025-02-18 13:29:17,dashboard_viewed,analytics,web,session_00000013,workspace_00000001,3.9698
event_00000014,account_00000001,user_00000004,2025-02-18 02:14:46,customer_signature,customer_portal,mobile,session_00000014,workspace_00000001,5.468
event_00000015,account_00000001,user_00000003,2025-02-21 13:56:49,document_uploaded,documents,mobile,session_00000015,workspace_00000001,2.8945
event_00000016,account_00000001,user_00000002,2025-02-21 05:44:52,automation_run,automation,web,session_00000016,workspace_00000001,7.0603
event_00000017,account_00000001,user_00000004,2025-03-11 22:29:05,automation_run,automation,mobile,session_00000017,workspace_00000001,3.166
event_00000018,account_00000001,user_00000002,2025-03-11 01:49:28,document_uploaded,documents,web,session_00000018,workspace_00000001,3.2154
event_00000019,account_00000001,user_00000004,2025-03-20 02:15:06,integration_sync,integrations,web,session_00000019,workspace_00000001,5.4938
event_00000020,account_00000001,user_00000001,2025-03-20 17:02:28,work_order_completed,work_orders,web,session_00000020,workspace_00000001,15.5413
event_00000021,account_00000001,user_00000002,2025-03-22 17:34:54,integration_sync,integrations,web,session_00000021,workspace_00000001,17.6103
event_00000022,account_00000001,user_00000002,2025-03-22 17:21:44,customer_signature,customer_portal,web,session_00000022,workspace_00000001,3.3626
event_00000023,account_00000001,user_00000004,2025-03-27 11:09:10,mobile_check_in,mobile,mobile,session_00000023,workspace_00000001,2.6591
event_00000024,account_00000001,user_00000004,2025-03-27 03:28:34,schedule_viewed,scheduling,mobile,session_00000024,workspace_00000001,2.2368
event_00000025,account_00000001,user_00000001,2025-04-08 22:58:29,customer_signature,customer_portal,mobile,session_00000025,workspace_00000001,1.618
event_00000026,account_00000001,user_00000001,2025-04-08 15:13:52,integration_sync,integrations,mobile,session_00000026,workspace_00000001,9.0064
event_00000027,account_00000001,user_00000002,2025-04-22 20:44:04,dashboard_viewed,analytics,web,session_00000027,workspace_00000001,2.3256
event_00000028,account_00000001,user_00000004,2025-04-22 15:50:35,integration_sync,integrations,web,session_00000028,workspace_00000001,4.5717
event_00000029,account_00000001,user_00000004,2025-04-23 09:54:32,work_order_completed,work_orders,mobile,session_00000029,workspace_00000001,1.3324
event_00000030,account_00000001,user_00000002,2025-04-23 15:47:56,integration_sync,integrations,web,session_00000030,workspace_00000001,1.4769
event_00000031,account_00000001,user_00000001,2025-04-25 13:44:38,mobile_check_in,mobile,mobile,session_00000031,workspace_00000001,3.4668
event_00000032,account_00000001,user_00000001,2025-04-25 17:31:00,mobile_check_in,mobile,web,session_00000032,workspace_00000001,5.0912
event_00000033,account_00000001,user_00000003,2025-05-06 02:45:43,api_request,api,mobile,session_00000033,workspace_00000001,1.2071
event_00000034,account_00000001,user_00000004,2025-05-06 17:11:04,dashboard_viewed,analytics,mobile,session_00000034,workspace_00000001,0.9327
event_00000035,account_00000001,user_00000003,2025-05-11 17:03:57,integration_sync,integrations,mobile,session_00000035,workspace_00000001,2.1673
event_00000036,account_00000001,user_00000002,2025-05-11 16:00:11,integration_sync,integrations,web,session_00000036,workspace_00000001,0.6216
event_00000037,account_00000001,user_00000003,2025-05-23 00:25:43,work_order_completed,work_orders,mobile,session_00000037,workspace_00000001,3.0471
event_00000038,account_00000001,user_00000004,2025-05-23 01:15:23,schedule_viewed,scheduling,web,session_00000038,workspace_00000001,6.6426
event_00000039,account_00000001,user_00000002,2025-05-25 06:08:12,automation_run,automation,web,session_00000039,workspace_00000001,4.6962
event_00000040,account_00000001,user_00000001,2025-05-25 02:22:40,customer_signature,customer_portal,mobile,session_00000040,workspace_00000001,1.1699
event_00000041,account_00000001,user_00000001,2025-06-13 09:07:23,mobile_check_in,mobile,mobile,session_00000041,workspace_00000001,8.2828
