renewal_id,subscription_id,renewal_due_date,decision_date,renewal_status,renewal_arr_eur,renewal_probability,risk_reason
renewal_00000001,subscription_00000003,2025-05-28,2025-04-26,renewed,2388.96,0.8961,
renewal_00000002,subscription_00000003,2026-05-28,2026-05-03,renewed,2388.96,0.8961,
renewal_00000003,subscription_00000006,2025-07-23,2025-07-10,renewed,17630.04,0.9047,
renewal_00000004,subscription_00000009,2025-07-13,2025-06-22,renewed,1216.44,0.8961,
renewal_00000005,subscription_00000015,2025-04-24,2025-03-30,renewed,6696.48,0.6837,
renewal_00000006,subscription_00000015,2026-04-24,2026-03-23,renewed,6696.48,0.6837,
renewal_00000007,subscription_00000017,2026-05-20,2026-04-28,renewed,1052.04,0.8884,
renewal_00000008,subscription_00000018,2026-04-19,2026-04-05,renewed,38411.76,0.9047,
renewal_00000009,subscription_00000019,2025-04-28,2025-04-23,renewed,6387.12,0.9047,
renewal_00000010,subscription_00000019,2026-04-28,2026-03-17,renewed,7226.88,0.9047,
renewal_00000011,subscription_00000023,2025-03-07,2025-02-15,renewed,765.0,0.6722,
renewal_00000012,subscription_00000025,2026-02-19,2026-01-22,renewed,3762.6,0.8961,
renewal_00000013,subscription_00000026,2025-12-10,2025-10-28,renewed,1455.96,0.8961,
renewal_00000014,subscription_00000028,2025-11-18,2025-10-18,renewed,659.28,0.8884,
renewal_00000015,subscription_00000030,2026-05-30,2026-05-19,renewed,72374.88,0.9095,
renewal_00000016,subscription_00000033,2025-08-08,2025-07-25,renewed,1955.04,0.6722,
renewal_00000017,subscription_00000035,2025-05-13,2025-04-14,renewed,2082.48,0.8961,
renewal_00000018,subscription_00000035,2026-05-13,2026-04-08,renewed,2082.48,0.8961,
renewal_00000019,subscription_00000036,2026-05-04,2026-03-24,renewed,327298.08,0.9131,
renewal_00000020,subscription_00000037,2025-07-27,2025-07-02,renewed,13888.2,0.9047,
renewal_00000021,subscription_00000045,2026-02-05,2026-01-04,renewed,1657.8,0.8961,
renewal_00000022,subscription_00000050,2025-06-29,2025-06-08,renewed,54420.12,0.9095,
renewal_00000023,subscription_00000050,2026-06-29,2026-06-02,renewed,45043.2,0.9095,
renewal_00000024,subscription_00000056,2025-07-12,2025-06-21,renewed,115530.84,0.9095,
renewal_00000025,subscription_00000057,2025-12-24,2025-12-13,renewed,561.84,0.8884,
renewal_00000026,subscription_00000060,2026-04-22,2026-03-30,renewed,8377.32,0.9047,
renewal_00000027,subscription_00000065,2025-03-04,2025-01-20,renewed,397.8,0.8884,
renewal_00000028,subscription_00000065,2026-03-04,2026-02-13,renewed,429.6,0.8884,
renewal_00000029,subscription_00000067,2026-02-02,2025-12-26,renewed,3071.28,0.8961,
renewal_00000030,subscription_00000072,2026-05-22,2026-04-27,renewed,25155.84,0.9047,
renewal_00000031,subscription_00000078,2025-05-22,2025-04-15,renewed,561.84,0.8884,
renewal_00000032,subscription_00000078,2026-05-22,2026-04-08,renewed,561.84,0.8884,
renewal_00000033,subscription_00000080,2025-09-28,2025-08-19,renewed,10617.84,0.6968,
renewal_00000034,subscription_00000081,2025-09-08,2025-08-21,renewed,2725.92,0.8961,
