subscription_event_id,subscription_id,event_at,event_type,previous_plan_id,new_plan_id,previous_quantity,new_quantity,mrr_change_eur,event_reason,initiated_by
subevent_00000001,subscription_00000001,2024-12-12 11:00:00,trial_started,,plan_starter,,4,0.0,self_service_trial,customer
subevent_00000002,subscription_00000001,2025-01-10 00:00:00,subscription_activated,,plan_starter,0,4,51.0,new_business,system
subevent_00000003,subscription_00000001,2025-06-11 00:00:00,add_on_added,plan_starter,plan_starter,0,1,179.0,route_optimisation,customer
subevent_00000004,subscription_00000002,2026-03-10 08:00:00,trial_started,,plan_starter,,1,0.0,self_service_trial,customer
subevent_00000005,subscription_00000002,2026-03-30 00:00:00,subscription_activated,,plan_starter,0,1,42.12,new_business,system
subevent_00000006,subscription_00000003,2024-05-28 00:00:00,subscription_activated,,plan_professional,0,9,143.5,new_business,system
subevent_00000007,subscription_00000003,2024-07-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,44.1,additional_storage,customer
subevent_00000008,subscription_00000004,2025-12-22 00:00:00,subscription_activated,,plan_starter,0,3,40.01,new_business,system
subevent_00000009,subscription_00000005,2025-03-26 00:00:00,subscription_activated,,plan_starter,0,20,243.0,new_business,system
subevent_00000010,subscription_00000005,2025-06-30 00:00:00,subscription_churned,plan_starter,,20,0,-262.44,involuntary,system
subevent_00000011,subscription_00000006,2025-03-05 00:00:00,seat_expanded,plan_business,plan_business,47,54,151.2,customer_growth,customer
subevent_00000012,subscription_00000006,2026-04-05 00:00:00,seat_expanded,plan_business,plan_business,54,64,233.28,customer_growth,customer
subevent_00000013,subscription_00000006,2026-06-05 00:00:00,seat_expanded,plan_business,plan_business,64,77,303.26,customer_growth,customer
subevent_00000014,subscription_00000006,2024-07-23 00:00:00,subscription_activated,,plan_business,0,47,853.95,new_business,system
subevent_00000015,subscription_00000006,2025-02-11 00:00:00,add_on_added,plan_business,plan_business,0,1,359.1,premium_support,customer
subevent_00000016,subscription_00000006,2024-08-11 00:00:00,add_on_added,plan_business,plan_business,0,1,44.1,additional_storage,customer
subevent_00000017,subscription_00000007,2026-03-27 00:00:00,subscription_activated,,plan_business,0,432,11909.81,new_business,system
subevent_00000018,subscription_00000008,2024-05-01 08:00:00,trial_started,,plan_starter,,14,0.0,self_service_trial,customer
subevent_00000019,subscription_00000008,2024-12-05 00:00:00,plan_upgraded,plan_starter,plan_professional,14,14,99.0,customer_growth,customer
subevent_00000020,subscription_00000008,2026-03-05 00:00:00,seat_expanded,plan_professional,plan_professional,14,18,82.08,customer_growth,customer
subevent_00000021,subscription_00000008,2024-06-02 00:00:00,subscription_activated,,plan_starter,0,14,171.0,new_business,system
subevent_00000022,subscription_00000009,2025-06-05 00:00:00,seat_contracted,plan_professional,plan_professional,7,6,-16.83,capacity_adjustment,customer
subevent_00000023,subscription_00000009,2025-10-05 00:00:00,seat_contracted,plan_professional,plan_professional,6,5,-16.83,capacity_adjustment,customer
subevent_00000024,subscription_00000009,2026-01-05 00:00:00,seat_contracted,plan_professional,plan_professional,5,4,0.0,capacity_adjustment,customer
subevent_00000025,subscription_00000009,2024-07-13 00:00:00,subscription_activated,,plan_professional,0,7,108.97,new_business,system
subevent_00000026,subscription_00000010,2025-10-05 00:00:00,seat_contracted,plan_business,plan_business,43,40,-69.98,capacity_adjustment,customer
subevent_00000027,subscription_00000010,2026-01-05 00:00:00,seat_expanded,plan_business,plan_business,40,43,69.98,customer_growth,customer
subevent_00000028,subscription_00000010,2026-02-05 00:00:00,seat_expanded,plan_business,plan_business,43,53,233.28,customer_growth,customer
subevent_00000029,subscription_00000010,2025-07-02 00:00:00,subscription_activated,,plan_business,0,43,906.98,new_business,system
subevent_00000030,subscription_00000011,2024-11-26 17:00:00,trial_started,,plan_professional,,13,0.0,self_service_trial,customer
subevent_00000031,subscription_00000011,2024-12-27 00:00:00,subscription_activated,,plan_professional,0,13,251.0,new_business,system
subevent_00000032,subscription_00000012,2026-06-26 00:00:00,subscription_activated,,plan_business,0,275,6048.48,new_business,system
subevent_00000033,subscription_00000013,2025-11-15 00:00:00,subscription_activated,,plan_professional,0,4,80.66,new_business,system
subevent_00000034,subscription_00000014,2026-03-11 00:00:00,subscription_activated,,plan_professional,0,15,243.14,new_business,system
subevent_00000035,subscription_00000015,2024-09-05 00:00:00,plan_upgraded,plan_starter,plan_professional,13,13,70.67,customer_growth,customer
subevent_00000036,subscription_00000015,2024-04-24 00:00:00,subscription_activated,,plan_starter,0,13,128.39,new_business,system
subevent_00000037,subscription_00000015,2024-09-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,116.1,advanced_analytics,customer
subevent_00000038,subscription_00000015,2024-09-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,224.1,api_package,customer
subevent_00000039,subscription_00000016,2025-07-05 00:00:00,seat_contracted,plan_starter,plan_starter,11,10,-12.96,capacity_adjustment,customer
subevent_00000040,subscription_00000016,2025-09-05 00:00:00,seat_expanded,plan_starter,plan_starter,10,11,12.96,customer_growth,customer
subevent_00000041,subscription_00000016,2025-05-22 00:00:00,subscription_activated,,plan_starter,0,11,145.8,new_business,system
subevent_00000042,subscription_00000017,2025-04-27 13:00:00,trial_started,,plan_professional,,3,0.0,self_service_trial,customer
subevent_00000043,subscription_00000017,2025-05-20 00:00:00,subscription_activated,,plan_professional,0,3,87.67,new_business,system
subevent_00000044,subscription_00000018,2025-05-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,72,91,744.16,customer_growth,customer
subevent_00000045,subscription_00000018,2025-07-05 00:00:00,seat_expanded,plan_enterprise,plan_enterprise,91,113,613.96,customer_growth,customer
subevent_00000046,subscription_00000018,2025-04-19 00:00:00,subscription_activated,,plan_business,0,72,1500.73,new_business,system
subevent_00000047,subscription_00000018,2025-10-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,62.1,document_management,customer
subevent_00000048,subscription_00000018,2025-11-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,269.1,erp_integration,customer
subevent_00000049,subscription_00000019,2024-04-04 18:00:00,trial_started,,plan_business,,23,0.0,self_service_trial,customer
subevent_00000050,subscription_00000019,2026-02-05 00:00:00,seat_expanded,plan_business,plan_business,23,26,69.98,customer_growth,customer
subevent_00000051,subscription_00000019,2024-04-28 00:00:00,subscription_activated,,plan_business,0,23,452.0,new_business,system
subevent_00000052,subscription_00000019,2024-09-11 00:00:00,add_on_added,plan_business,plan_business,0,1,44.1,additional_storage,customer
subevent_00000053,subscription_00000020,2026-01-05 00:00:00,plan_upgraded,plan_professional,plan_business,83,83,487.71,customer_growth,customer
subevent_00000054,subscription_00000020,2025-10-28 00:00:00,subscription_activated,,plan_professional,0,83,1400.13,new_business,system
subevent_00000055,subscription_00000020,2026-05-11 00:00:00,add_on_added,plan_business,plan_business,0,1,269.1,erp_integration,customer
subevent_00000056,subscription_00000021,2025-09-25 00:00:00,subscription_activated,,plan_enterprise,0,831,21184.59,new_business,system
subevent_00000057,subscription_00000021,2026-01-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,62.1,document_management,customer
subevent_00000058,subscription_00000021,2025-10-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,359.1,premium_support,customer
subevent_00000059,subscription_00000021,2025-10-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,116.1,advanced_analytics,customer
subevent_00000060,subscription_00000022,2024-08-21 14:00:00,trial_started,,plan_professional,,13,0.0,self_service_trial,customer
subevent_00000061,subscription_00000022,2024-08-31 00:00:00,subscription_activated,,plan_professional,0,13,251.0,new_business,system
subevent_00000062,subscription_00000023,2024-02-10 11:00:00,trial_started,,plan_starter,,5,0.0,self_service_trial,customer
subevent_00000063,subscription_00000023,2024-05-05 00:00:00,seat_expanded,plan_starter,plan_starter,5,6,10.2,customer_growth,customer
subevent_00000064,subscription_00000023,2024-03-07 00:00:00,subscription_activated,,plan_starter,0,5,53.55,new_business,system
subevent_00000065,subscription_00000023,2025-04-17 00:00:00,cancellation_requested,plan_starter,,6,0,0.0,business_closed,customer
subevent_00000066,subscription_00000023,2025-04-30 00:00:00,subscription_churned,plan_starter,,6,0,-68.85,voluntary,customer
subevent_00000067,subscription_00000024,2025-11-29 08:00:00,trial_started,,plan_starter,,2,0.0,self_service_trial,customer
subevent_00000068,subscription_00000024,2025-12-29 00:00:00,subscription_activated,,plan_starter,0,2,42.12,new_business,system
subevent_00000069,subscription_00000025,2026-01-05 00:00:00,seat_expanded,plan_professional,plan_professional,16,19,50.48,customer_growth,customer
subevent_00000070,subscription_00000025,2025-02-19 00:00:00,subscription_activated,,plan_professional,0,16,244.98,new_business,system
subevent_00000071,subscription_00000026,2024-11-29 15:00:00,trial_started,,plan_professional,,7,0.0,self_service_trial,customer
subevent_00000072,subscription_00000026,2026-01-05 00:00:00,seat_contracted,plan_professional,plan_professional,7,6,-16.83,capacity_adjustment,customer
subevent_00000073,subscription_00000026,2026-03-05 00:00:00,seat_expanded,plan_professional,plan_professional,6,8,33.65,customer_growth,customer
subevent_00000074,subscription_00000026,2024-12-10 00:00:00,subscription_activated,,plan_professional,0,7,112.34,new_business,system
subevent_00000075,subscription_00000027,2026-02-19 00:00:00,subscription_activated,,plan_starter,0,1,35.8,new_business,system
subevent_00000076,subscription_00000027,2026-06-12 00:00:00,cancellation_requested,plan_starter,,1,0,0.0,business_closed,customer
subevent_00000077,subscription_00000027,2026-06-30 00:00:00,subscription_churned,plan_starter,,1,0,-35.8,voluntary,customer
subevent_00000078,subscription_00000028,2026-03-05 00:00:00,seat_expanded,plan_starter,plan_starter,5,6,11.02,customer_growth,customer
subevent_00000079,subscription_00000028,2024-11-18 00:00:00,subscription_activated,,plan_starter,0,5,50.87,new_business,system
subevent_00000080,subscription_00000029,2026-01-15 09:00:00,trial_started,,plan_professional,,15,0.0,self_service_trial,customer
subevent_00000081,subscription_00000029,2026-02-10 00:00:00,subscription_activated,,plan_professional,0,15,312.12,new_business,system
subevent_00000082,subscription_00000029,2026-05-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,69.0,document_management,customer
subevent_00000083,subscription_00000029,2026-04-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,299.0,erp_integration,customer
subevent_00000084,subscription_00000029,2026-05-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,399.0,premium_support,customer
subevent_00000085,subscription_00000030,2025-09-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,195,195,777.17,customer_growth,customer
subevent_00000086,subscription_00000030,2026-04-05 00:00:00,seat_expanded,plan_enterprise,plan_enterprise,195,222,753.49,customer_growth,customer
