subscription_id,account_id,contract_id,plan_id,trial_start_date,trial_end_date,subscription_start_date,current_status,cancel_requested_date,ended_date,churn_type,billing_frequency,currency_code
subscription_00000001,account_00000001,contract_00000001,plan_starter,2024-12-12,2025-01-09,2025-01-10,active,,,,monthly,EUR
subscription_00000002,account_00000002,contract_00000002,plan_starter,2026-03-10,2026-03-29,2026-03-30,active,,,,monthly,EUR
subscription_00000003,account_00000004,contract_00000003,plan_professional,,,2024-05-28,active,,,,annual,NOK
subscription_00000004,account_00000008,contract_00000004,plan_starter,,,2025-12-22,active,,,,monthly,EUR
subscription_00000005,account_00000009,contract_00000005,plan_starter,,,2025-03-26,churned,,2025-06-30,involuntary,monthly,EUR
subscription_00000006,account_00000013,contract_00000006,plan_business,,,2024-07-23,active,,,,annual,EUR
subscription_00000007,account_00000019,contract_00000007,plan_business,,,2026-03-27,active,,,,monthly,EUR
subscription_00000008,account_00000022,contract_00000008,plan_starter,2024-05-01,2024-06-01,2024-06-02,active,,,,monthly,SEK
subscription_00000009,account_00000023,contract_00000009,plan_professional,,,2024-07-13,active,,,,annual,EUR
subscription_00000010,account_00000024,contract_00000010,plan_business,,,2025-07-02,active,,,,annual,CZK
subscription_00000011,account_00000035,contract_00000011,plan_professional,2024-11-26,2024-12-26,2024-12-27,active,,,,monthly,CHF
subscription_00000012,account_00000039,contract_00000012,plan_business,,,2026-06-26,active,,,,annual,EUR
subscription_00000013,account_00000040,contract_00000013,plan_professional,,,2025-11-15,active,,,,annual,EUR
subscription_00000014,account_00000043,contract_00000014,plan_professional,,,2026-03-11,active,,,,annual,EUR
subscription_00000015,account_00000044,contract_00000015,plan_starter,,,2024-04-24,active,,,,annual,EUR
subscription_00000016,account_00000047,contract_00000016,plan_starter,,,2025-05-22,active,,,,monthly,EUR
subscription_00000017,account_00000051,contract_00000017,plan_professional,2025-04-27,2025-05-19,2025-05-20,active,,,,annual,EUR
subscription_00000018,account_00000056,contract_00000018,plan_business,,,2025-04-19,active,,,,annual,EUR
subscription_00000019,account_00000069,contract_00000019,plan_business,2024-04-04,2024-04-27,2024-04-28,active,,,,annual,EUR
subscription_00000020,account_00000079,contract_00000020,plan_professional,,,2025-10-28,active,,,,annual,SEK
subscription_00000021,account_00000080,contract_00000021,plan_enterprise,,,2025-09-25,active,,,,annual,EUR
subscription_00000022,account_00000083,contract_00000022,plan_professional,2024-08-21,2024-08-30,2024-08-31,active,,,,monthly,GBP
subscription_00000023,account_00000085,contract_00000023,plan_starter,2024-02-10,2024-03-06,2024-03-07,churned,2025-04-17,2025-04-30,voluntary,annual,EUR
subscription_00000024,account_00000086,contract_00000024,plan_starter,2025-11-29,2025-12-28,2025-12-29,active,,,,monthly,EUR
subscription_00000025,account_00000087,contract_00000025,plan_professional,,,2025-02-19,active,,,,annual,EUR
subscription_00000026,account_00000089,contract_00000026,plan_professional,2024-11-29,2024-12-09,2024-12-10,active,,,,annual,SEK
subscription_00000027,account_00000092,contract_00000027,plan_starter,,,2026-02-19,churned,2026-06-12,2026-06-30,voluntary,annual,EUR
subscription_00000028,account_00000093,contract_00000028,plan_starter,,,2024-11-18,active,,,,annual,EUR
subscription_00000029,account_00000094,contract_00000029,plan_professional,2026-01-15,2026-02-09,2026-02-10,active,,,,monthly,EUR
subscription_00000030,account_00000095,contract_00000030,plan_business,,,2025-05-30,churned,2026-05-20,2026-05-31,voluntary,annual,SEK
subscription_00000031,account_00000100,contract_00000031,plan_professional,2026-05-06,2026-05-10,2026-05-11,active,,,,monthly,GBP
subscription_00000032,account_00000101,contract_00000032,plan_professional,2026-04-27,2026-05-24,2026-05-25,active,,,,annual,NOK
subscription_00000033,account_00000104,contract_00000033,plan_starter,,,2024-08-08,active,,,,annual,NOK
subscription_00000034,account_00000105,contract_00000034,plan_starter,2026-05-03,2026-05-29,2026-05-30,active,,,,annual,EUR
subscription_00000035,account_00000106,contract_00000035,plan_professional,,,2024-05-13,active,,,,annual,NOK
subscription_00000036,account_00000108,contract_00000036,plan_enterprise,,,2025-05-04,active,,,,annual,GBP
subscription_00000037,account_00000110,contract_00000037,plan_business,,,2024-07-27,active,,,,annual,PLN
subscription_00000038,account_00000111,contract_00000038,plan_professional,,,2025-01-15,active,,,,monthly,EUR
subscription_00000039,account_00000113,contract_00000039,plan_business,2024-07-25,2024-08-17,2024-08-18,active,,,,monthly,EUR
subscription_00000040,account_00000116,contract_00000040,plan_starter,,,2025-08-09,active,,,,monthly,GBP
subscription_00000041,account_00000122,contract_00000041,plan_starter,,,2025-10-03,active,,,,monthly,EUR
subscription_00000042,account_00000123,contract_00000042,plan_starter,,,2024-10-13,active,,,,monthly,EUR
subscription_00000043,account_00000124,contract_00000043,plan_professional,2024-07-18,2024-07-31,2024-08-01,active,,,,monthly,EUR
subscription_00000044,account_00000126,contract_00000044,plan_starter,2026-02-16,2026-03-09,2026-03-10,active,,,,annual,SEK
subscription_00000045,account_00000127,contract_00000045,plan_professional,2025-01-28,2025-02-04,2025-02-05,active,,,,annual,EUR
subscription_00000046,account_00000128,contract_00000046,plan_professional,,,2024-08-23,active,,,,monthly,EUR
subscription_00000047,account_00000129,contract_00000047,plan_starter,,,2025-06-12,active,,,,monthly,SEK
subscription_00000048,account_00000130,contract_00000048,plan_starter,2025-09-28,2025-10-19,2025-10-20,churned,2026-01-05,2026-01-31,voluntary,annual,EUR
subscription_00000049,account_00000131,contract_00000049,plan_enterprise,,,2025-05-16,active,,,,monthly,GBP
subscription_00000050,account_00000134,contract_00000050,plan_business,,,2024-06-29,active,,,,annual,EUR
subscription_00000051,account_00000135,contract_00000051,plan_starter,,,2025-08-25,active,,,,monthly,EUR
subscription_00000052,account_00000136,contract_00000052,plan_business,,,2024-09-24,active,,,,monthly,EUR
subscription_00000053,account_00000137,contract_00000053,plan_professional,2025-10-30,2025-11-17,2025-11-18,active,,,,monthly,EUR
subscription_00000054,account_00000138,contract_00000054,plan_starter,2024-11-01,2024-11-10,2024-11-11,active,,,,monthly,EUR
subscription_00000055,account_00000141,contract_00000055,plan_starter,,,2025-04-20,active,,,,monthly,EUR
subscription_00000056,account_00000152,contract_00000056,plan_business,,,2024-07-12,active,,,,annual,EUR
subscription_00000057,account_00000155,contract_00000057,plan_starter,2024-12-20,2024-12-23,2024-12-24,active,,,,annual,EUR
subscription_00000058,account_00000157,contract_00000058,plan_professional,,,2024-05-08,active,,,,monthly,EUR
subscription_00000059,account_00000159,contract_00000059,plan_professional,,,2026-04-30,active,,,,monthly,GBP
subscription_00000060,account_00000161,contract_00000060,plan_business,,,2025-04-22,active,,,,annual,CHF
subscription_00000061,account_00000166,contract_00000061,plan_starter,2025-01-05,2025-01-22,2025-01-23,active,,,,monthly,EUR
subscription_00000062,account_00000169,contract_00000062,plan_professional,2026-05-26,2026-06-26,2026-06-27,active,,,,monthly,GBP
subscription_00000063,account_00000173,contract_00000063,plan_professional,2024-04-01,2024-04-26,2024-04-27,active,,,,monthly,SEK
