ticket_id,account_id,created_at,first_response_at,resolved_at,closed_at,priority,category,ticket_status,channel,escalated_flag,reopened_count,csat_score
ticket_00000001,account_00000001,2025-04-10 19:00:00,2025-04-10 20:50:29.417622709,2025-04-11 10:58:38.208641780,2025-04-11 18:58:38.208641780,high,integration,closed,portal,False,0,4
ticket_00000002,account_00000001,2025-07-15 07:00:00,2025-07-15 20:23:34.931840738,2025-07-16 07:42:03.178016237,2025-07-16 15:42:03.178016237,normal,permissions,closed,chat,False,0,4
ticket_00000003,account_00000001,2025-12-12 15:00:00,2025-12-13 01:04:17.556304851,2025-12-13 12:54:31.730801526,2025-12-13 20:54:31.730801526,normal,billing,closed,chat,False,0,5
ticket_00000004,account_00000001,2026-05-11 19:00:00,2026-05-11 22:09:20.893003931,2026-05-12 06:24:46.986765653,2026-05-12 14:24:46.986765653,high,integration,closed,portal,False,0,5
ticket_00000005,account_00000001,2026-05-28 16:00:00,2026-05-29 01:05:05.485121347,2026-05-29 10:40:41.126312101,2026-05-29 18:40:41.126312101,normal,mobile,closed,email,False,0,4
ticket_00000006,account_00000002,2026-03-29 17:00:00,2026-03-29 21:27:29.689582377,2026-03-30 05:26:49.106849563,2026-03-30 13:26:49.106849563,normal,reporting,closed,email,False,0,3
ticket_00000007,account_00000002,2026-04-07 13:00:00,2026-04-07 18:57:56.396583648,2026-04-08 06:58:17.730316625,2026-04-08 14:58:17.730316625,normal,reporting,closed,email,False,0,4
ticket_00000008,account_00000004,2024-05-27 16:00:00,2024-05-27 21:32:29.116948449,2024-05-28 07:12:08.869418641,2024-05-28 15:12:08.869418641,low,performance,closed,email,False,1,4
ticket_00000009,account_00000004,2024-10-05 15:00:00,2024-10-05 18:31:19.217525470,2024-10-07 02:47:31.908588003,2024-10-07 10:47:31.908588003,normal,permissions,closed,email,False,0,4
ticket_00000010,account_00000004,2024-11-04 17:00:00,2024-11-04 19:32:49.977740664,2024-11-05 02:59:09.504576406,2024-11-05 10:59:09.504576406,high,mobile,closed,chat,False,0,3
ticket_00000011,account_00000004,2025-02-19 18:00:00,2025-02-20 00:31:03.220114483,2025-02-20 05:16:38.550847239,2025-02-20 13:16:38.550847239,normal,permissions,closed,chat,False,0,5
ticket_00000012,account_00000004,2025-03-20 11:00:00,2025-03-20 16:47:14.597026677,2025-03-21 14:22:38.420506352,2025-03-21 22:22:38.420506352,normal,reporting,closed,email,False,0,4
ticket_00000013,account_00000004,2026-02-28 14:00:00,2026-02-28 18:09:32.050446258,2026-03-04 04:40:24.522260996,2026-03-04 12:40:24.522260996,high,reporting,closed,chat,True,0,4
ticket_00000014,account_00000008,2025-12-20 08:00:00,2025-12-20 20:54:51.781377711,2025-12-21 18:02:44.053374839,2025-12-22 02:02:44.053374839,normal,configuration,closed,chat,False,0,4
ticket_00000015,account_00000013,2024-08-27 08:00:00,2024-08-27 12:09:31.953343820,2024-08-27 22:36:37.289320017,2024-08-28 06:36:37.289320017,normal,billing,closed,phone,False,0,5
ticket_00000016,account_00000013,2024-08-09 14:00:00,2024-08-09 16:56:04.468094243,2024-08-11 16:30:39.349917405,2024-08-12 00:30:39.349917405,low,integration,closed,portal,False,0,3
ticket_00000017,account_00000013,2025-03-04 13:00:00,2025-03-04 17:42:51.530878143,2025-03-05 01:03:11.334353781,2025-03-05 09:03:11.334353781,normal,integration,closed,phone,False,0,4
ticket_00000018,account_00000013,2025-06-05 09:00:00,2025-06-05 15:20:07.640786222,2025-06-06 02:12:01.350617886,2025-06-06 10:12:01.350617886,normal,reporting,closed,portal,False,0,4
ticket_00000019,account_00000013,2025-12-16 15:00:00,2025-12-17 01:36:50.592405719,2025-12-17 17:34:58.303063932,2025-12-18 01:34:58.303063932,high,reporting,closed,chat,False,0,5
ticket_00000020,account_00000013,2026-03-08 09:00:00,2026-03-08 13:32:02.252064021,2026-03-09 06:37:23.021899091,2026-03-09 14:37:23.021899091,high,configuration,closed,email,True,0,5
ticket_00000021,account_00000013,2026-03-04 19:00:00,2026-03-05 01:26:02.097126701,2026-03-05 19:10:27.312460904,2026-03-06 03:10:27.312460904,normal,billing,closed,email,False,0,4
ticket_00000022,account_00000013,2026-04-11 18:00:00,2026-04-11 20:01:14.617204094,2026-04-13 12:45:47.067778751,2026-04-13 20:45:47.067778751,normal,performance,closed,portal,False,0,5
ticket_00000023,account_00000013,2026-06-12 16:00:00,2026-06-12 18:26:49.896373182,2026-06-12 22:39:42.123127720,2026-06-13 06:39:42.123127720,normal,configuration,closed,email,False,0,3
