account_id,health_month,health_score,health_segment,usage_score,support_score,payment_score,relationship_score,renewal_risk_flag,mrr_eur
account_00000001,2025-01-01,65.74,watch,50.0,92.0,95.0,52.91,False,51.0
account_00000001,2025-02-01,64.93,watch,50.0,92.0,95.0,47.52,False,51.0
account_00000001,2025-03-01,74.22,watch,68.5,92.0,95.0,47.78,False,51.0
account_00000001,2025-04-01,64.23,watch,50.25,86.0,95.0,48.05,False,51.0
account_00000001,2025-05-01,75.06,healthy,68.75,92.0,95.0,52.58,False,51.0
account_00000001,2025-06-01,72.58,watch,65.75,92.0,95.0,46.02,False,230.0
account_00000001,2025-07-01,71.08,watch,65.75,86.0,95.0,42.02,False,230.0
account_00000001,2025-08-01,78.91,healthy,75.25,92.0,95.0,56.59,False,230.0
account_00000001,2025-09-01,64.1,watch,50.5,92.0,95.0,40.37,False,230.0
account_00000001,2025-10-01,74.61,watch,62.75,92.0,95.0,69.58,False,230.0
account_00000001,2025-11-01,68.12,watch,53.25,92.0,89.0,65.95,False,230.0
account_00000001,2025-12-01,62.74,watch,50.25,90.0,95.0,34.13,False,230.0
account_00000001,2026-01-01,62.82,watch,53.0,92.0,95.0,23.49,False,230.0
account_00000001,2026-02-01,76.85,healthy,65.75,92.0,95.0,74.52,False,230.0
account_00000001,2026-03-01,64.57,watch,53.0,92.0,95.0,35.14,False,230.0
account_00000001,2026-04-01,75.09,healthy,65.5,92.0,95.0,63.61,False,230.0
account_00000001,2026-05-01,70.85,watch,65.5,78.0,95.0,49.33,False,230.0
account_00000001,2026-06-01,73.79,watch,62.75,92.0,95.0,64.13,False,230.0
account_00000002,2026-03-01,76.54,healthy,75.0,82.0,95.0,51.61,False,42.12
account_00000002,2026-04-01,66.71,watch,81.0,86.0,33.0,44.73,False,42.12
account_00000002,2026-05-01,75.5,healthy,78.25,92.0,95.0,23.81,False,42.12
account_00000002,2026-06-01,66.68,watch,81.0,92.0,33.0,38.56,False,42.12
account_00000004,2024-05-01,69.15,watch,62.59,86.0,95.0,39.71,False,143.5
account_00000004,2024-06-01,73.95,watch,64.89,92.0,95.0,58.06,False,143.5
account_00000004,2024-07-01,79.09,healthy,75.64,92.0,95.0,56.49,False,187.6
account_00000004,2024-08-01,77.32,healthy,67.64,92.0,95.0,71.32,False,187.6
account_00000004,2024-09-01,79.88,healthy,74.64,92.0,95.0,65.06,False,187.6
account_00000004,2024-10-01,75.88,healthy,73.69,86.0,95.0,47.54,False,187.6
account_00000004,2024-11-01,74.7,watch,69.64,82.0,95.0,57.2,False,187.6
