cohort_month,cohort_age,retained_accounts,retained_mrr,cohort_accounts,cohort_mrr,logo_retention,revenue_retention
2024-03-01,0,2,86.69999999999999,2,86.69999999999999,1.0,1.0
2024-03-01,1,2,86.69999999999999,2,86.69999999999999,1.0,1.0
2024-03-01,2,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,3,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,4,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,5,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,6,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,7,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,8,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,9,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,10,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,11,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,12,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,13,2,96.9,2,86.69999999999999,1.0,1.1176470588235297
2024-03-01,14,1,33.15,2,86.69999999999999,0.5,0.3823529411764706
2024-03-01,15,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,16,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,17,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,18,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,19,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,20,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,21,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,22,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,23,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,24,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,25,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,26,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-03-01,27,1,35.8,2,86.69999999999999,0.5,0.41291810841983856
2024-04-01,0,3,698.39,3,698.39,1.0,1.0
2024-04-01,1,3,698.39,3,698.39,1.0,1.0
2024-04-01,2,3,698.39,3,698.39,1.0,1.0
2024-04-01,3,3,698.39,3,698.39,1.0,1.0
2024-04-01,4,3,698.39,3,698.39,1.0,1.0
2024-04-01,5,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,6,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,7,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,8,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,9,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,10,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,11,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,12,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,13,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,14,3,1156.0,3,698.39,1.0,1.6552356133392518
2024-04-01,15,3,1144.92,3,698.39,1.0,1.6393705522702215
2024-04-01,16,3,1144.92,3,698.39,1.0,1.6393705522702215
2024-04-01,17,3,1144.92,3,698.39,1.0,1.6393705522702215
2024-04-01,18,3,1144.92,3,698.39,1.0,1.6393705522702215
2024-04-01,19,3,1144.92,3,698.39,1.0,1.6393705522702215
2024-04-01,20,3,1144.92,3,698.39,1.0,1.6393705522702215
2024-04-01,21,3,1144.92,3,698.39,1.0,1.6393705522702215
2024-04-01,22,3,1251.06,3,698.39,1.0,1.7913486733773392
