country_code,region_id,active_accounts,mrr_eur,invoiced_revenue_eur,invoices,paid_invoice_rate
AT,dach,8,7054.639999999999,136285.82,55,0.9818181818181818
BE,benelux,4,7849.719999999999,233899.7,53,0.9811320754716981
CH,dach,2,949.11,25105.78,21,1.0
CZ,central_europe,1,1128.6,13169.41,1,1.0
DE,dach,14,15534.49,284960.89,128,0.9921875
DK,nordics,1,143.52,2691.0,15,1.0
ES,southern_europe,4,12547.9,74161.87000000001,11,1.0
FR,western_europe,8,23386.01,317428.4,65,0.9846153846153847
GB,western_europe,8,63920.61,1370692.67,59,0.9661016949152542
IE,western_europe,3,11908.05,247839.99,12,1.0
IT,southern_europe,5,25418.16,275752.32,12,1.0
NL,benelux,8,3458.06,64000.07,57,0.9298245614035088
NO,nordics,5,2200.33,33868.32,10,0.9
PL,central_europe,2,1107.4199999999998,30494.79,3,1.0
SE,nordics,6,2879.5299999999997,196310.81,71,1.0
