check_id,table_name,check_type,severity,passed,failure_count,details
regions.columns,regions,schema,error,True,0,Missing columns: []; unexpected columns: []
regions.region_id.type,regions,type,error,True,0,Column region_id conforms to logical type string.
regions.region_name.type,regions,type,error,True,0,Column region_name conforms to logical type string.
regions.commercial_owner.type,regions,type,error,True,0,Column commercial_owner conforms to logical type string.
regions.pk_not_null,regions,primary_key,error,True,0,Primary key ['region_id'] is not null.
regions.pk_unique,regions,primary_key,error,True,0,Primary key ['region_id'] is unique.
countries.columns,countries,schema,error,True,0,Missing columns: []; unexpected columns: []
countries.country_code.type,countries,type,error,True,0,Column country_code conforms to logical type string.
countries.country_name.type,countries,type,error,True,0,Column country_name conforms to logical type string.
countries.region_id.type,countries,type,error,True,0,Column region_id conforms to logical type string.
countries.currency_code.type,countries,type,error,True,0,Column currency_code conforms to logical type string.
countries.vat_rate.type,countries,type,error,True,0,Column vat_rate conforms to logical type decimal.
countries.language_code.type,countries,type,error,True,0,Column language_code conforms to logical type string.
countries.pk_not_null,countries,primary_key,error,True,0,Primary key ['country_code'] is not null.
countries.pk_unique,countries,primary_key,error,True,0,Primary key ['country_code'] is unique.
currencies.columns,currencies,schema,error,True,0,Missing columns: []; unexpected columns: []
currencies.currency_code.type,currencies,type,error,True,0,Column currency_code conforms to logical type string.
currencies.currency_name.type,currencies,type,error,True,0,Column currency_name conforms to logical type string.
currencies.minor_units.type,currencies,type,error,True,0,Column minor_units conforms to logical type integer.
currencies.pk_not_null,currencies,primary_key,error,True,0,Primary key ['currency_code'] is not null.
currencies.pk_unique,currencies,primary_key,error,True,0,Primary key ['currency_code'] is unique.
fx_rates.columns,fx_rates,schema,error,True,0,Missing columns: []; unexpected columns: []
fx_rates.rate_date.type,fx_rates,type,error,True,0,Column rate_date conforms to logical type date.
fx_rates.currency_code.type,fx_rates,type,error,True,0,Column currency_code conforms to logical type string.
fx_rates.eur_rate.type,fx_rates,type,error,True,0,Column eur_rate conforms to logical type decimal.
fx_rates.pk_not_null,fx_rates,primary_key,error,True,0,"Primary key ['rate_date', 'currency_code'] is not null."
fx_rates.pk_unique,fx_rates,primary_key,error,True,0,"Primary key ['rate_date', 'currency_code'] is unique."
plans.columns,plans,schema,error,True,0,Missing columns: []; unexpected columns: []
plans.plan_id.type,plans,type,error,True,0,Column plan_id conforms to logical type string.
plans.plan_name.type,plans,type,error,True,0,Column plan_name conforms to logical type string.
plans.plan_rank.type,plans,type,error,True,0,Column plan_rank conforms to logical type integer.
plans.included_seats.type,plans,type,error,True,0,Column included_seats conforms to logical type integer.
plans.active_flag.type,plans,type,error,True,0,Column active_flag conforms to logical type boolean.
plans.pk_not_null,plans,primary_key,error,True,0,Primary key ['plan_id'] is not null.
plans.pk_unique,plans,primary_key,error,True,0,Primary key ['plan_id'] is unique.
plan_prices.columns,plan_prices,schema,error,True,0,Missing columns: []; unexpected columns: []
