month,opening_mrr,new_mrr,expansion_mrr,contraction_mrr,churned_mrr,reactivation_mrr,closing_mrr,bridge_reconciliation
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,86.7,0.0,0.0,0.0,0.0,86.7,0.0
2024-04-01,86.7,698.39,0.0,0.0,0.0,0.0,785.09,0.0
2024-05-01,785.09,453.77,10.2,0.0,0.0,0.0,1249.06,0.0
2024-06-01,1249.06,3521.77,0.0,0.0,0.0,0.0,4770.83,0.0
2024-07-01,4770.83,8874.14,106.2,0.0,0.0,0.0,13751.17,0.0
2024-08-01,13751.17,2940.35,601.92,0.0,0.0,0.0,17293.44,-0.0
2024-09-01,17293.44,2678.99,457.61,0.0,0.0,0.0,20430.04,0.0
2024-10-01,20430.04,46.92,116.1,0.0,0.0,0.0,20593.06,0.0
2024-11-01,20593.06,233.87,324.0,0.0,0.0,0.0,21150.93,0.0
2024-12-01,21150.93,406.69,2191.6,0.0,0.0,0.0,23749.22,0.0
2025-01-01,23749.22,246.0,116.1,0.0,0.0,0.0,24111.32,0.0
2025-02-01,24111.32,1660.88,851.1,-184.68,0.0,0.0,26438.62,0.0
2025-03-01,26438.62,243.0,488.06,0.0,0.0,0.0,27169.68,-0.0
2025-04-01,27169.68,2763.56,1226.6,-6.73,0.0,0.0,31153.11,0.0
2025-05-01,31153.11,72650.06,795.33,0.0,-63.75,0.0,104534.75,0.0
2025-06-01,104534.75,42.12,189.57,-7.6,0.0,0.0,104758.84,0.0
2025-07-01,104758.84,1821.49,860.25,-2339.23,-243.0,0.0,104858.35,-0.0
2025-08-01,104858.35,2323.81,963.5,-80.82,0.0,0.0,108064.84,0.0
2025-09-01,108064.84,21184.59,4717.06,-6883.17,0.0,0.0,127083.32,0.0
2025-10-01,127083.32,15012.35,1702.95,-194.56,0.0,0.0,143604.06,-0.0
2025-11-01,143604.06,249.14,853.34,-514.08,0.0,0.0,144192.46,0.0
2025-12-01,144192.46,82.13,538.2,0.0,0.0,0.0,144812.79,-0.0
2026-01-01,144812.79,0.0,1233.96,-38.8,0.0,0.0,146007.95,0.0
2026-02-01,146007.95,967.84,5718.44,-781.41,-35.8,0.0,151877.02,0.0
2026-03-01,151877.02,12230.87,3660.16,0.0,0.0,0.0,167768.05,0.0
2026-04-01,167768.05,475.8,1825.23,-116.64,0.0,0.0,169952.44,0.0
2026-05-01,169952.44,614.16,4954.29,-33.65,0.0,0.0,175487.24,-0.0
2026-06-01,175487.24,7873.28,2173.19,-16.32,-6031.24,0.0,179486.15,0.0
