attempt_month,country_code,segment,failed_invoices,recovered_invoices,failed_value_eur,recovered_value_eur,average_attempts,recovery_rate
2024-08-01,NL,micro,1,1,116.2,116.2,2.0,1.0
2024-11-01,ES,micro,1,1,738.63,738.63,3.0,1.0
2024-11-01,GB,small,1,1,301.2,301.2,2.0,1.0
2025-02-01,NL,micro,1,1,116.2,116.2,2.0,1.0
2025-03-01,DE,medium,1,1,1250.69,1250.69,3.0,1.0
2025-03-01,FR,micro,1,1,46.8,46.8,2.0,1.0
2025-04-01,DE,micro,1,1,127.23,127.23,2.0,1.0
2025-04-01,NL,small,1,1,8102.74,8102.74,3.0,1.0
2025-04-01,SE,small,1,1,159.3,159.3,2.0,1.0
2025-05-01,DE,small,1,1,235.19,235.19,2.0,1.0
2025-06-01,BE,small,1,0,317.55,0.0,2.0,0.0
2025-08-01,DE,small,1,1,235.19,235.19,2.0,1.0
2025-08-01,NL,micro,1,0,125.49,0.0,4.0,0.0
2025-09-01,FR,micro,1,0,66.1,0.0,4.0,0.0
2025-11-01,BE,micro,1,1,283.24,283.24,3.0,1.0
2025-11-01,DE,micro,1,0,127.23,0.0,3.0,0.0
2025-11-01,DE,small,2,2,950.95,950.95,3.0,1.0
2026-01-01,NL,micro,1,0,125.49,0.0,4.0,0.0
2026-03-01,AT,medium,1,0,2882.58,0.0,4.0,0.0
2026-03-01,IT,micro,1,1,51.39,51.39,2.0,1.0
2026-03-01,SE,micro,1,1,537.03,537.03,2.0,1.0
2026-03-01,SE,small,1,1,467.1,467.1,2.0,1.0
2026-04-01,AT,medium,2,2,5370.08,5370.08,2.0,1.0
2026-04-01,DE,small,1,1,371.42,371.42,2.0,1.0
2026-04-01,NL,micro,1,0,50.97,0.0,4.0,0.0
2026-05-01,FR,micro,1,1,75.12,75.12,2.0,1.0
2026-05-01,GB,small,1,1,496.17,496.17,3.0,1.0
2026-05-01,NO,small,1,0,2986.2,0.0,3.0,0.0
2026-06-01,GB,small,2,0,1058.44,0.0,3.5,0.0
2026-06-01,NL,micro,1,0,50.97,0.0,2.0,0.0
