activity_month,country_code,region_id,segment,active_accounts,active_users,sessions,work_orders_created,work_order_completion_rate,automation_adoption_rate,api_adoption_rate,average_feature_breadth
2024-03-01,DE,dach,micro,1,2,10,8,0.625,1.0,1.0,8.0
2024-03-01,IE,western_europe,micro,1,1,5,3,1.0,1.0,0.0,7.0
2024-04-01,AT,dach,medium,1,17,89,61,0.8852459016393442,1.0,1.0,9.0
2024-04-01,DE,dach,micro,1,1,6,2,0.5,0.0,1.0,8.0
2024-04-01,IE,western_europe,micro,1,1,6,4,0.75,0.0,0.0,8.0
2024-04-01,NL,benelux,small,1,8,38,27,0.7407407407407407,1.0,1.0,10.0
2024-04-01,SE,nordics,small,1,4,16,12,0.8333333333333334,1.0,1.0,10.0
2024-05-01,AT,dach,medium,1,16,83,70,0.8571428571428571,1.0,1.0,10.0
2024-05-01,DE,dach,micro,1,3,18,13,0.7692307692307693,1.0,1.0,7.0
2024-05-01,GB,western_europe,micro,1,3,21,1,1.0,1.0,0.0,8.0
2024-05-01,IE,western_europe,micro,1,1,8,3,1.0,1.0,0.0,7.0
2024-05-01,NL,benelux,micro,1,1,5,1,1.0,0.0,0.0,6.0
2024-05-01,NL,benelux,small,1,5,42,16,0.875,1.0,1.0,9.0
2024-05-01,NO,nordics,small,2,9,56,23,0.8674242424242424,1.0,1.0,10.0
2024-05-01,SE,nordics,small,1,4,23,13,0.8461538461538461,1.0,1.0,8.0
2024-06-01,AT,dach,medium,1,15,82,81,0.8888888888888888,1.0,1.0,10.0
2024-06-01,BE,benelux,mid_market,1,33,208,189,0.9470899470899471,1.0,1.0,10.0
2024-06-01,DE,dach,micro,1,3,13,9,0.7777777777777778,1.0,1.0,9.0
2024-06-01,GB,western_europe,micro,1,2,10,6,1.0,1.0,0.0,7.0
2024-06-01,IE,western_europe,micro,1,1,4,1,1.0,0.0,0.0,7.0
2024-06-01,NL,benelux,micro,1,1,9,2,1.0,0.0,0.0,6.0
2024-06-01,NL,benelux,small,1,8,32,26,0.8461538461538461,1.0,1.0,10.0
2024-06-01,NO,nordics,small,2,14,71,60,0.8772893772893773,1.0,1.0,9.5
2024-06-01,SE,nordics,small,2,12,66,43,0.8590909090909091,1.0,1.0,9.0
2024-07-01,AT,dach,medium,1,17,99,70,0.8857142857142857,1.0,1.0,10.0
2024-07-01,BE,benelux,mid_market,1,30,161,146,0.863013698630137,1.0,1.0,10.0
2024-07-01,DE,dach,micro,1,2,12,4,1.0,1.0,1.0,9.0
2024-07-01,DE,dach,small,1,3,17,11,0.8181818181818182,1.0,0.0,7.0
2024-07-01,GB,western_europe,micro,1,2,11,2,1.0,0.0,0.0,7.0
2024-07-01,IE,western_europe,micro,1,1,8,3,0.6666666666666666,0.0,0.0,7.0
2024-07-01,IE,western_europe,mid_market,1,25,128,159,0.9182389937106918,1.0,1.0,10.0
2024-07-01,NL,benelux,medium,1,32,208,167,0.8023952095808383,1.0,1.0,10.0
2024-07-01,NL,benelux,micro,1,1,7,3,1.0,0.0,0.0,6.0
2024-07-01,NL,benelux,small,1,7,28,19,0.8421052631578947,1.0,1.0,8.0
2024-07-01,NO,nordics,small,2,14,74,42,0.8095238095238095,1.0,1.0,9.0
2024-07-01,PL,central_europe,medium,1,20,137,89,0.8539325842696629,1.0,1.0,9.0
2024-07-01,SE,nordics,small,2,13,71,36,0.85625,1.0,1.0,9.5
2024-08-01,AT,dach,medium,2,43,237,211,0.889824453970198,1.0,1.0,9.5
2024-08-01,BE,benelux,medium,1,26,174,154,0.8116883116883117,1.0,0.0,8.0
2024-08-01,BE,benelux,mid_market,1,30,177,177,0.903954802259887,1.0,1.0,10.0
2024-08-01,DE,dach,micro,2,5,25,16,0.9166666666666667,0.5,0.5,7.5
2024-08-01,DE,dach,small,1,4,22,11,0.9090909090909091,1.0,0.0,8.0
2024-08-01,GB,western_europe,micro,1,3,15,6,0.8333333333333334,1.0,0.0,8.0
2024-08-01,GB,western_europe,small,1,7,41,15,0.6666666666666666,1.0,0.0,6.0
2024-08-01,IE,western_europe,micro,1,1,10,1,1.0,0.0,0.0,7.0
2024-08-01,IE,western_europe,mid_market,1,30,162,199,0.8743718592964824,1.0,1.0,10.0
2024-08-01,NL,benelux,medium,1,32,176,163,0.8711656441717791,1.0,1.0,10.0
2024-08-01,NL,benelux,micro,1,1,7,3,1.0,0.0,0.0,8.0
2024-08-01,NL,benelux,small,1,5,33,11,0.7272727272727273,1.0,1.0,9.0
2024-08-01,NO,nordics,micro,1,1,15,2,1.0,0.0,1.0,8.0
2024-08-01,NO,nordics,small,2,13,52,38,0.868421052631579,1.0,1.0,10.0
2024-08-01,PL,central_europe,medium,1,29,143,135,0.8518518518518519,1.0,1.0,10.0
2024-08-01,SE,nordics,small,2,10,56,24,0.7555555555555555,1.0,1.0,9.0
2024-09-01,AT,dach,medium,3,74,372,355,0.856561812954507,1.0,0.6666666666666666,9.666666666666666
2024-09-01,BE,benelux,medium,1,24,139,112,0.8303571428571429,1.0,0.0,9.0
2024-09-01,BE,benelux,mid_market,1,21,122,154,0.8831168831168831,1.0,1.0,10.0
2024-09-01,DE,dach,micro,2,5,20,16,0.7333333333333334,1.0,0.5,8.0
2024-09-01,DE,dach,small,1,3,20,11,0.8181818181818182,0.0,0.0,9.0
2024-09-01,ES,southern_europe,small,1,8,59,29,0.8275862068965517,1.0,1.0,10.0
2024-09-01,GB,western_europe,micro,1,2,18,8,0.75,1.0,0.0,8.0
2024-09-01,GB,western_europe,small,1,6,44,25,0.76,1.0,0.0,8.0
2024-09-01,IE,western_europe,micro,1,1,8,2,1.0,1.0,0.0,8.0
2024-09-01,IE,western_europe,mid_market,1,28,139,153,0.9019607843137255,1.0,1.0,10.0
2024-09-01,IT,southern_europe,medium,1,26,130,121,0.8016528925619835,1.0,1.0,9.0
2024-09-01,NL,benelux,medium,1,28,170,153,0.9215686274509803,1.0,1.0,10.0
2024-09-01,NL,benelux,micro,1,1,10,5,0.8,1.0,0.0,7.0
2024-09-01,NL,benelux,small,1,8,45,23,0.8260869565217391,1.0,1.0,10.0
2024-09-01,NO,nordics,micro,1,2,14,6,0.8333333333333334,0.0,1.0,9.0
2024-09-01,NO,nordics,small,2,15,71,56,0.8677419354838709,1.0,1.0,10.0
2024-09-01,PL,central_europe,medium,1,33,179,157,0.8789808917197452,1.0,1.0,9.0
2024-09-01,SE,nordics,small,2,13,73,41,0.8792270531400965,1.0,1.0,10.0
2024-10-01,AT,dach,medium,3,74,428,324,0.8938396922267889,1.0,0.6666666666666666,9.666666666666666
2024-10-01,BE,benelux,medium,1,30,170,140,0.85,1.0,0.0,8.0
2024-10-01,BE,benelux,mid_market,1,25,170,148,0.8918918918918919,1.0,1.0,10.0
2024-10-01,DE,dach,micro,2,3,26,9,0.875,0.5,0.5,8.0
2024-10-01,DE,dach,small,1,4,30,8,0.875,1.0,0.0,10.0
2024-10-01,ES,southern_europe,small,1,9,48,31,0.8709677419354839,1.0,1.0,10.0
2024-10-01,FR,western_europe,micro,1,3,11,7,0.7142857142857143,1.0,0.0,9.0
2024-10-01,GB,western_europe,micro,1,3,15,6,0.8333333333333334,1.0,0.0,7.0
2024-10-01,GB,western_europe,small,1,6,33,30,0.8,1.0,0.0,9.0
2024-10-01,IE,western_europe,micro,1,1,6,2,1.0,0.0,0.0,9.0
2024-10-01,IE,western_europe,mid_market,1,32,130,168,0.9285714285714286,1.0,1.0,10.0
2024-10-01,IT,southern_europe,medium,1,26,124,145,0.8068965517241379,1.0,1.0,10.0
2024-10-01,NL,benelux,medium,1,29,173,155,0.8709677419354839,1.0,1.0,10.0
2024-10-01,NL,benelux,micro,1,1,8,0,,0.0,0.0,7.0
2024-10-01,NL,benelux,small,1,7,39,23,0.782608695652174,1.0,1.0,10.0
2024-10-01,NO,nordics,micro,1,3,14,8,0.75,1.0,1.0,9.0
2024-10-01,NO,nordics,small,2,15,90,52,0.8840336134453781,1.0,1.0,10.0
2024-10-01,PL,central_europe,medium,1,33,170,182,0.9230769230769231,1.0,1.0,10.0
2024-10-01,SE,nordics,small,2,12,69,37,0.8783333333333333,1.0,1.0,10.0
2024-11-01,AT,dach,medium,3,79,355,310,0.8840630283063852,1.0,0.6666666666666666,9.666666666666666
2024-11-01,BE,benelux,medium,1,31,202,217,0.8940092165898618,1.0,0.0,9.0
2024-11-01,BE,benelux,mid_market,1,23,122,153,0.8888888888888888,1.0,1.0,10.0
2024-11-01,DE,dach,micro,2,4,22,4,1.0,0.5,0.5,7.5
2024-11-01,DE,dach,small,2,15,92,42,0.821875,1.0,0.0,9.0
2024-11-01,ES,southern_europe,micro,1,4,23,5,0.8,1.0,0.0,7.0
2024-11-01,ES,southern_europe,small,1,7,32,19,0.8947368421052632,1.0,1.0,8.0
2024-11-01,FR,western_europe,micro,1,3,17,9,0.7777777777777778,1.0,0.0,9.0
2024-11-01,GB,western_europe,micro,1,3,8,5,0.8,1.0,0.0,7.0
2024-11-01,GB,western_europe,small,1,7,40,23,0.7391304347826086,1.0,0.0,7.0
2024-11-01,IE,western_europe,micro,1,1,6,3,1.0,0.0,0.0,8.0
2024-11-01,IE,western_europe,mid_market,1,31,152,172,0.9011627906976745,1.0,1.0,10.0
2024-11-01,IT,southern_europe,medium,1,22,118,111,0.7837837837837838,1.0,1.0,9.0
2024-11-01,NL,benelux,medium,1,31,173,145,0.8413793103448276,1.0,1.0,10.0
2024-11-01,NL,benelux,micro,1,2,14,5,1.0,1.0,0.0,7.0
2024-11-01,NL,benelux,small,1,7,27,24,0.7916666666666666,1.0,1.0,10.0
2024-11-01,NO,nordics,micro,1,2,7,3,1.0,1.0,1.0,8.0
2024-11-01,NO,nordics,small,2,12,61,46,0.9323809523809523,1.0,1.0,10.0
2024-11-01,PL,central_europe,medium,1,29,141,109,0.8348623853211009,1.0,1.0,8.0
2024-11-01,SE,nordics,small,2,13,73,53,0.9001831501831502,1.0,1.0,10.0
2024-12-01,AT,dach,medium,3,66,380,324,0.8886155606407323,1.0,0.6666666666666666,9.666666666666666
2024-12-01,BE,benelux,medium,1,30,211,119,0.8823529411764706,1.0,0.0,9.0
2024-12-01,BE,benelux,mid_market,1,25,150,146,0.9246575342465754,1.0,1.0,10.0
2024-12-01,CH,dach,small,1,7,39,26,0.8461538461538461,1.0,0.0,7.0
2024-12-01,DE,dach,micro,3,6,32,16,0.888888888888889,0.3333333333333333,0.3333333333333333,8.0
2024-12-01,DE,dach,small,2,11,61,33,0.7980769230769231,1.0,0.0,8.0
2024-12-01,ES,southern_europe,micro,1,2,10,3,1.0,0.0,0.0,8.0
2024-12-01,ES,southern_europe,small,1,7,41,32,0.78125,1.0,1.0,9.0
2024-12-01,FR,western_europe,micro,1,2,11,4,1.0,1.0,0.0,8.0
2024-12-01,GB,western_europe,micro,1,3,22,4,1.0,1.0,0.0,9.0
2024-12-01,GB,western_europe,small,1,7,23,18,0.7777777777777778,1.0,0.0,7.0
2024-12-01,IE,western_europe,micro,1,1,11,1,1.0,0.0,0.0,8.0
2024-12-01,IE,western_europe,mid_market,1,22,104,150,0.9133333333333333,1.0,1.0,10.0
2024-12-01,IT,southern_europe,medium,1,23,148,122,0.8114754098360656,1.0,1.0,9.0
2024-12-01,NL,benelux,medium,1,21,137,122,0.9344262295081968,1.0,1.0,10.0
2024-12-01,NL,benelux,micro,1,2,11,7,0.7142857142857143,1.0,0.0,7.0
2024-12-01,NL,benelux,small,1,8,41,29,0.7931034482758621,1.0,1.0,10.0
2024-12-01,NO,nordics,micro,1,2,14,2,1.0,1.0,1.0,9.0
2024-12-01,NO,nordics,small,2,12,85,39,0.8502673796791445,1.0,1.0,10.0
2024-12-01,PL,central_europe,medium,1,30,206,155,0.8838709677419355,1.0,1.0,10.0
2024-12-01,SE,nordics,small,3,16,67,50,0.9212962962962963,1.0,0.6666666666666666,9.333333333333334
2025-01-01,AT,dach,medium,3,64,332,305,0.8726608187134502,1.0,0.6666666666666666,9.333333333333334
2025-01-01,BE,benelux,medium,1,23,143,124,0.8790322580645161,1.0,0.0,9.0
2025-01-01,BE,benelux,micro,1,2,8,6,0.8333333333333334,0.0,0.0,9.0
2025-01-01,BE,benelux,mid_market,1,32,151,155,0.9161290322580645,1.0,1.0,10.0
2025-01-01,CH,dach,small,1,7,44,24,0.8333333333333334,1.0,0.0,8.0
2025-01-01,DE,dach,micro,3,6,45,21,0.9393939393939394,0.6666666666666666,0.3333333333333333,8.333333333333334
2025-01-01,DE,dach,small,3,18,114,68,0.8121693121693122,1.0,0.0,8.0
2025-01-01,ES,southern_europe,micro,1,2,19,4,1.0,0.0,0.0,8.0
2025-01-01,ES,southern_europe,small,1,8,45,40,0.825,1.0,1.0,10.0
2025-01-01,FR,western_europe,micro,2,5,23,9,0.9375,0.5,0.0,8.0
2025-01-01,GB,western_europe,micro,1,2,8,8,0.875,0.0,0.0,9.0
2025-01-01,GB,western_europe,small,1,5,21,13,0.7692307692307693,1.0,0.0,7.0
2025-01-01,IE,western_europe,micro,1,1,10,7,1.0,1.0,0.0,8.0
2025-01-01,IE,western_europe,mid_market,1,31,143,199,0.9195979899497487,1.0,1.0,10.0
2025-01-01,IT,southern_europe,medium,1,28,144,140,0.85,1.0,1.0,9.0
2025-01-01,NL,benelux,medium,1,32,137,115,0.9217391304347826,1.0,1.0,10.0
2025-01-01,NL,benelux,micro,1,2,11,2,1.0,0.0,0.0,9.0
2025-01-01,NL,benelux,small,1,10,43,34,0.8529411764705882,1.0,1.0,10.0
2025-01-01,NO,nordics,micro,1,2,14,11,0.7272727272727273,1.0,1.0,8.0
2025-01-01,NO,nordics,small,2,13,72,46,0.8809523809523809,1.0,1.0,10.0
2025-01-01,PL,central_europe,medium,1,30,182,153,0.8954248366013072,1.0,1.0,10.0
2025-01-01,SE,nordics,small,3,16,90,50,0.8974747474747474,1.0,0.6666666666666666,9.0
2025-02-01,AT,dach,medium,3,82,502,339,0.9111431423378327,1.0,0.6666666666666666,10.0
2025-02-01,AT,dach,small,1,5,37,19,0.8421052631578947,1.0,1.0,10.0
2025-02-01,BE,benelux,medium,1,33,182,139,0.8848920863309353,1.0,0.0,9.0
2025-02-01,BE,benelux,micro,1,2,9,5,0.8,0.0,0.0,6.0
2025-02-01,BE,benelux,mid_market,1,32,165,167,0.9041916167664671,1.0,1.0,10.0
2025-02-01,CH,dach,small,1,9,39,28,0.8571428571428571,1.0,0.0,8.0
2025-02-01,DE,dach,medium,1,28,203,138,0.8768115942028986,1.0,1.0,10.0
2025-02-01,DE,dach,micro,3,6,33,12,1.0,0.6666666666666666,0.3333333333333333,8.0
2025-02-01,DE,dach,small,4,23,134,106,0.8367604617604618,1.0,0.25,9.0
2025-02-01,ES,southern_europe,micro,1,3,24,9,0.7777777777777778,1.0,0.0,9.0
2025-02-01,ES,southern_europe,small,2,18,119,52,0.7926634768740032,0.5,0.5,9.0
2025-02-01,FR,western_europe,micro,2,4,17,11,1.0,0.0,0.0,8.0
2025-02-01,GB,western_europe,micro,1,2,9,3,1.0,0.0,0.0,7.0
2025-02-01,GB,western_europe,small,1,8,26,19,0.8421052631578947,1.0,0.0,9.0
2025-02-01,IE,western_europe,micro,1,1,10,7,0.8571428571428571,1.0,0.0,8.0
2025-02-01,IE,western_europe,mid_market,1,31,137,185,0.8918918918918919,1.0,1.0,10.0
