country_code,region_id,sales_motion,acquisition_channel,accounts,leads,mqls,sqls,opportunities,won_opportunities,pipeline_arr_eur,paid_accounts,lead_to_mql,mql_to_sql,opportunity_win_rate,account_to_paid
AT,dach,partner_led,paid_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
AT,dach,partner_led,partner,2,2,1,1,1.0,1.0,5700.0,1.0,0.5,1.0,1.0,0.5
AT,dach,sales_assisted,organic_search,2,2,1,1,1.0,1.0,30160.0,1.0,0.5,1.0,1.0,0.5
AT,dach,sales_assisted,outbound_sales,3,3,3,3,3.0,2.0,37650.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666
AT,dach,sales_assisted,paid_social,1,1,1,1,1.0,0.0,32240.0,0.0,1.0,1.0,0.0,0.0
AT,dach,self_service,organic_search,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
AT,dach,self_service,paid_search,4,4,3,0,0.0,0.0,0.0,2.0,0.75,0.0,,0.5
AT,dach,self_service,referral,1,1,0,0,0.0,0.0,0.0,1.0,0.0,,,1.0
BE,benelux,partner_led,outbound_sales,1,1,1,1,1.0,1.0,106920.0,1.0,1.0,1.0,1.0,1.0
BE,benelux,partner_led,partner,2,2,1,1,1.0,0.0,7600.0,1.0,0.5,1.0,0.0,0.5
BE,benelux,sales_assisted,organic_search,2,2,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
BE,benelux,sales_assisted,paid_social,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
BE,benelux,self_service,organic_search,5,5,1,0,0.0,0.0,0.0,2.0,0.2,0.0,,0.4
BE,benelux,self_service,paid_search,2,2,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
BE,benelux,self_service,referral,2,2,1,0,0.0,0.0,0.0,1.0,0.5,0.0,,0.5
CH,dach,partner_led,partner,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
CH,dach,partner_led,referral,1,1,1,1,1.0,0.0,6460.0,0.0,1.0,1.0,0.0,0.0
CH,dach,sales_assisted,outbound_sales,3,3,1,1,1.0,0.0,465660.0,0.0,0.3333333333333333,1.0,0.0,0.0
CH,dach,sales_assisted,paid_search,1,1,1,1,1.0,1.0,19240.0,1.0,1.0,1.0,1.0,1.0
CH,dach,self_service,organic_search,2,2,1,0,0.0,0.0,0.0,1.0,0.5,0.0,,0.5
CH,dach,self_service,paid_search,2,2,1,0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0
