month,country_code,channel,spend_eur,new_customers,cac_eur
2024-01-01,AT,partner,4241.23,0.0,
2024-01-01,BE,paid_search,4570.87,0.0,
2024-01-01,BE,partner,4964.75,0.0,
2024-01-01,CH,events,3351.53,0.0,
2024-01-01,CH,paid_search,11839.71,0.0,
2024-01-01,CZ,paid_search,5071.64,0.0,
2024-01-01,CZ,partner,3199.73,0.0,
2024-01-01,DE,events,2859.8,0.0,
2024-01-01,DE,partner,2803.66,0.0,
2024-01-01,DK,paid_social,3569.53,0.0,
2024-01-01,DK,partner,1668.04,0.0,
2024-01-01,ES,events,8094.05,0.0,
2024-01-01,ES,paid_social,5809.21,0.0,
2024-01-01,FR,paid_search,2527.09,0.0,
2024-01-01,GB,events,4845.24,0.0,
2024-01-01,GB,partner,2819.58,0.0,
2024-01-01,IE,partner,12413.93,0.0,
2024-01-01,IT,paid_search,4695.91,0.0,
2024-01-01,IT,partner,6294.6,0.0,
2024-01-01,NL,paid_social,1933.45,0.0,
2024-01-01,NL,partner,4118.65,0.0,
2024-01-01,PL,paid_search,8024.28,0.0,
2024-01-01,SE,events,1722.58,0.0,
2024-02-01,AT,events,2607.21,0.0,
2024-02-01,BE,events,9608.76,0.0,
2024-02-01,BE,paid_social,4271.63,0.0,
2024-02-01,CZ,paid_social,1752.98,0.0,
2024-02-01,DK,events,5908.32,0.0,
2024-02-01,DK,paid_social,3481.91,0.0,
2024-02-01,ES,events,1902.29,0.0,
2024-02-01,ES,paid_search,3160.75,0.0,
2024-02-01,FR,paid_social,4019.62,0.0,
2024-02-01,GB,paid_social,2648.67,0.0,
2024-02-01,IE,paid_search,3100.83,0.0,
2024-02-01,IE,paid_social,3309.5,0.0,
2024-02-01,IT,events,3970.68,0.0,
2024-02-01,IT,paid_social,2153.24,0.0,
2024-02-01,NL,paid_search,12038.53,0.0,
2024-02-01,NL,partner,3345.51,0.0,
2024-02-01,NO,paid_search,4904.45,0.0,
2024-02-01,PL,events,13643.92,0.0,
2024-02-01,PL,paid_search,2144.78,0.0,
2024-02-01,SE,events,7356.38,0.0,
2024-03-01,BE,paid_social,4142.94,0.0,
2024-03-01,BE,partner,1881.96,0.0,
2024-03-01,CH,paid_social,2273.13,0.0,
2024-03-01,CZ,partner,4539.73,0.0,
2024-03-01,DE,events,6605.05,0.0,
2024-03-01,DE,paid_search,3379.57,0.0,
2024-03-01,ES,partner,3188.13,0.0,
2024-03-01,GB,partner,4325.27,0.0,
2024-03-01,IT,partner,5271.76,0.0,
2024-03-01,NL,paid_search,10531.91,0.0,
2024-04-01,AT,paid_social,4593.66,0.0,
2024-04-01,AT,partner,4731.34,0.0,
2024-04-01,BE,events,2131.53,0.0,
2024-04-01,CH,partner,3682.02,0.0,
2024-04-01,DE,paid_social,4017.66,0.0,
2024-04-01,DK,paid_social,1727.38,0.0,
2024-04-01,ES,events,4499.39,0.0,
2024-04-01,ES,paid_social,5194.78,0.0,
2024-04-01,FR,events,3709.16,0.0,
2024-04-01,FR,paid_social,1953.38,0.0,
2024-04-01,NO,paid_search,3348.78,0.0,
2024-04-01,PL,events,5855.78,0.0,
2024-04-01,PL,paid_search,4407.42,0.0,
2024-04-01,SE,paid_search,3501.06,0.0,
2024-05-01,BE,events,4479.95,0.0,
2024-05-01,CH,events,6937.05,0.0,
2024-05-01,CH,paid_search,1553.75,0.0,
2024-05-01,CZ,paid_search,4098.37,0.0,
2024-05-01,CZ,paid_social,5812.52,0.0,
2024-05-01,DE,events,2390.62,0.0,
2024-05-01,DK,events,4057.47,0.0,
2024-05-01,DK,paid_social,3864.25,0.0,
2024-05-01,ES,paid_search,1912.93,0.0,
2024-05-01,FR,paid_search,13359.71,0.0,
2024-05-01,GB,paid_search,2374.38,0.0,
2024-05-01,GB,paid_social,2247.69,0.0,
2024-05-01,IE,partner,2744.67,0.0,
2024-05-01,IT,events,3199.31,0.0,
2024-05-01,IT,partner,2178.54,0.0,
2024-05-01,PL,events,1403.83,0.0,
2024-05-01,SE,events,4140.35,0.0,
2024-06-01,DE,paid_search,3083.43,0.0,
2024-06-01,DK,events,7863.07,0.0,
2024-06-01,DK,paid_social,8870.38,0.0,
2024-06-01,ES,paid_social,15051.94,0.0,
2024-06-01,ES,partner,2276.59,0.0,
2024-06-01,FR,partner,2232.96,0.0,
2024-06-01,GB,events,9392.96,0.0,
2024-06-01,GB,paid_social,4633.62,0.0,
2024-06-01,IT,paid_search,1766.19,0.0,
2024-06-01,NL,events,3076.55,0.0,
2024-06-01,NO,paid_social,1119.28,0.0,
2024-06-01,PL,paid_search,11017.46,0.0,
2024-06-01,PL,paid_social,3319.58,0.0,
2024-06-01,SE,paid_search,4463.12,0.0,
2024-06-01,SE,paid_social,4572.06,0.0,
2024-07-01,AT,paid_search,2630.25,0.0,
2024-07-01,BE,partner,2868.54,0.0,
2024-07-01,CH,paid_search,6871.34,0.0,
2024-07-01,CZ,paid_search,1840.93,0.0,
2024-07-01,DK,events,2083.05,0.0,
2024-07-01,DK,paid_social,2004.5,0.0,
2024-07-01,GB,events,3276.57,0.0,
2024-07-01,IT,paid_search,1805.12,0.0,
2024-07-01,IT,partner,3068.7,0.0,
2024-07-01,NO,paid_search,3097.69,0.0,
2024-07-01,NO,paid_social,1833.5,0.0,
2024-08-01,AT,events,3237.98,0.0,
2024-08-01,AT,paid_social,4790.1,0.0,
2024-08-01,CH,paid_social,3689.7,0.0,
2024-08-01,CZ,events,1504.46,0.0,
2024-08-01,CZ,partner,5333.85,0.0,
2024-08-01,DK,events,2767.16,0.0,
2024-08-01,ES,events,3205.88,0.0,
2024-08-01,ES,partner,3269.77,0.0,
2024-08-01,GB,paid_search,4244.0,0.0,
2024-08-01,GB,paid_social,2859.41,1.0,2859.41
2024-08-01,IE,paid_social,2969.5,0.0,
2024-08-01,IE,partner,3536.96,0.0,
2024-08-01,IT,paid_social,4040.64,0.0,
2024-08-01,NL,paid_search,8625.11,0.0,
2024-08-01,NO,paid_social,2801.94,0.0,
2024-08-01,SE,events,1273.57,0.0,
2024-08-01,SE,paid_search,2623.42,0.0,
2024-09-01,AT,events,4276.51,0.0,
2024-09-01,AT,partner,2951.06,0.0,
2024-09-01,CH,paid_search,2353.44,0.0,
2024-09-01,DE,events,1231.8,0.0,
2024-09-01,DE,partner,3880.01,0.0,
2024-09-01,DK,paid_search,3280.11,0.0,
2024-09-01,ES,events,6765.98,0.0,
2024-09-01,FR,partner,2433.88,0.0,
2024-09-01,NL,events,4766.38,0.0,
2024-09-01,NO,paid_search,1815.25,0.0,
2024-09-01,NO,partner,2410.96,0.0,
2024-09-01,SE,paid_search,6448.97,0.0,
2024-09-01,SE,partner,1313.8,0.0,
2024-10-01,AT,events,4228.22,0.0,
2024-10-01,AT,paid_search,3536.06,0.0,
2024-10-01,BE,partner,6286.34,0.0,
2024-10-01,CH,paid_search,6016.14,0.0,
2024-10-01,CH,paid_social,6376.04,0.0,
2024-10-01,CZ,partner,3537.5,0.0,
2024-10-01,DE,events,4488.73,0.0,
2024-10-01,GB,events,3999.6,0.0,
2024-10-01,GB,paid_search,2257.71,0.0,
